"","Ind","house","age","sex","income"
"63","ind1054","1963","0-4","m","$60,000 to $74,999"
"64","ind1055","1640","0-4","m","$50,000 to $59,999"
"65","ind1056","1906","0-4","m","$60,000 to $74,999"
"66","ind1057","1630","0-4","m","$35,000 to $39,999"
"67","ind1058","2017","0-4","m","$100,000 to $124,999"
"68","ind1059","1676","0-4","m","$40,000 to $44,999"
"69","ind106","1802","0-4","m","$50,000 to $59,999"
"70","ind1060","1616","0-4","m","$35,000 to $39,999"
"71","ind1061","1988","0-4","m","$75,000 to $99,999"
"72","ind1062","1906","0-4","m","$60,000 to $74,999"
"73","ind1063","1778","0-4","m","$50,000 to $59,999"
"74","ind1064","1907","0-4","m","$60,000 to $74,999"
"75","ind1065","1991","0-4","m","$75,000 to $99,999"
"76","ind1066","1834","0-4","m","$60,000 to $74,999"
"77","ind1067","1681","0-4","m","$50,000 to $59,999"
"78","ind1068","1450","0-4","m","$25,000 to $29,999"
"79","ind1069","1638","0-4","m","$45,000 to $49,999"
"80","ind107","1703","0-4","m","$45,000 to $49,999"
"81","ind1070","1971","0-4","m","$60,000 to $74,999"
"82","ind1071","1959","0-4","m","$60,000 to $74,999"
"83","ind1072","1870","0-4","m","$60,000 to $74,999"
"84","ind1073","1781","0-4","m","$50,000 to $59,999"
"85","ind1074","1455","0-4","m","$35,000 to $39,999"
"86","ind1075","1978","0-4","m","$75,000 to $99,999"
"87","ind1076","1632","0-4","m","$35,000 to $39,999"
"88","ind1077","1946","0-4","m","$60,000 to $74,999"
"89","ind1078","1761","0-4","m","$50,000 to $59,999"
"90","ind1079","1961","0-4","m","$60,000 to $74,999"
"91","ind108","1876","0-4","m","$60,000 to $74,999"
"92","ind1080","1645","0-4","m","$40,000 to $44,999"
"93","ind1081","1894","0-4","m","$10,000 to $14,999"
"94","ind1082","1872","0-4","m","$60,000 to $74,999"
"95","ind1083","1911","0-4","m","$60,000 to $74,999"
"96","ind1084","1652","0-4","m","$50,000 to $59,999"
"97","ind1085","1948","0-4","m","$60,000 to $74,999"
"98","ind1086","1626","0-4","m","$35,000 to $39,999"
"99","ind1087","1931","0-4","m","$60,000 to $74,999"
"100","ind1088","1918","0-4","m","$60,000 to $74,999"
"101","ind1089","1855","0-4","m","$50,000 to $59,999"
"102","ind109","1730","0-4","m","$45,000 to $49,999"
"103","ind1090","1977","0-4","m","$60,000 to $74,999"
"104","ind1091","1860","0-4","m","$10,000 to $14,999"
"105","ind1092","1999","0-4","m","$75,000 to $99,999"
"106","ind1093","1704","0-4","m","$45,000 to $49,999"
"107","ind1094","2007","0-4","m","$75,000 to $99,999"
"108","ind1095","1614","0-4","m","$40,000 to $44,999"
"109","ind1096","1445","0-4","m","$35,000 to $39,999"
"110","ind1097","1986","0-4","m","$75,000 to $99,999"
"111","ind1098","1809","0-4","m","$50,000 to $59,999"
"112","ind1099","1833","0-4","m","$50,000 to $59,999"
"113","ind11","2009","0-4","m","$75,000 to $99,999"
"114","ind110","2006","0-4","m","$75,000 to $99,999"
"115","ind1100","1958","0-4","m","$60,000 to $74,999"
"116","ind1101","1896","0-4","m","$60,000 to $74,999"
"117","ind1102","1615","0-4","m","$35,000 to $39,999"
"118","ind1103","1792","0-4","m","$50,000 to $59,999"
"119","ind1104","1920","0-4","m","$60,000 to $74,999"
"120","ind1105","1786","0-4","m","$50,000 to $59,999"
"121","ind1106","1924","0-4","m","$60,000 to $74,999"
"122","ind1107","1909","0-4","m","$60,000 to $74,999"
"123","ind1108","1936","0-4","m","$60,000 to $74,999"
"124","ind1109","1837","0-4","m","$50,000 to $59,999"
"125","ind111","1742","0-4","m","$45,000 to $49,999"
"126","ind1110","1888","0-4","m","$10,000 to $14,999"
"127","ind1111","1980","0-4","m","$75,000 to $99,999"
"128","ind1112","1564","0-4","m","$40,000 to $44,999"
"129","ind1113","1714","0-4","m","$45,000 to $49,999"
"130","ind1114","1431","0-4","m","$25,000 to $29,999"
"131","ind1115","1927","0-4","m","$60,000 to $74,999"
"132","ind1116","2008","0-4","m","$75,000 to $99,999"
"133","ind1117","1894","0-4","m","$10,000 to $14,999"
"134","ind1118","1800","0-4","m","$50,000 to $59,999"
"135","ind1119","1918","0-4","m","$60,000 to $74,999"
"136","ind112","2020","0-4","m","$100,000 to $124,999"
"137","ind1120","1865","0-4","m","$50,000 to $59,999"
"138","ind1121","1853","0-4","m","$60,000 to $74,999"
"139","ind1122","2004","0-4","m","$60,000 to $74,999"
"140","ind1123","1926","0-4","m","$60,000 to $74,999"
"141","ind1124","1617","0-4","m","$35,000 to $39,999"
"142","ind1125","1821","0-4","m","$50,000 to $59,999"
"143","ind1126","1921","0-4","m","$60,000 to $74,999"
"144","ind1127","1989","0-4","m","$60,000 to $74,999"
"145","ind1128","1863","0-4","m","$60,000 to $74,999"
"146","ind1129","1807","0-4","m","$60,000 to $74,999"
"147","ind113","1729","0-4","m","$45,000 to $49,999"
"148","ind1130","1921","0-4","m","$60,000 to $74,999"
"149","ind1131","1877","0-4","m","$60,000 to $74,999"
"150","ind1132","1624","0-4","m","$40,000 to $44,999"
"151","ind1133","2061","0-4","m",NA
"152","ind1134","1916","0-4","m","$60,000 to $74,999"
"153","ind1135","1837","0-4","m","$50,000 to $59,999"
"154","ind1136","1821","0-4","m","$50,000 to $59,999"
"155","ind1137","1603","0-4","m","$40,000 to $44,999"
"156","ind1138","1889","0-4","m","$60,000 to $74,999"
"157","ind1139","1843","0-4","m","$60,000 to $74,999"
"158","ind114","1784","0-4","m","$50,000 to $59,999"
"159","ind1140","1740","0-4","m","$45,000 to $49,999"
"160","ind1141","1434","0-4","m","$25,000 to $29,999"
"161","ind1142","1823","0-4","m","$50,000 to $59,999"
"162","ind1143","1929","0-4","m","$60,000 to $74,999"
"163","ind1144","1815","0-4","m","$50,000 to $59,999"
"164","ind1145","1745","0-4","m","$50,000 to $59,999"
"165","ind1146","1775","0-4","m","$50,000 to $59,999"
"166","ind1147","1627","0-4","m","$35,000 to $39,999"
"167","ind1148","1990","0-4","m","$60,000 to $74,999"
"168","ind1149","1999","0-4","m","$75,000 to $99,999"
"169","ind115","1805","0-4","m","$50,000 to $59,999"
"170","ind1150","1976","0-4","m","$60,000 to $74,999"
"171","ind1151","1847","0-4","m","$50,000 to $59,999"
"172","ind1152","1949","0-4","m","$60,000 to $74,999"
"173","ind1153","1749","0-4","m","$50,000 to $59,999"
"174","ind1154","1776","0-4","m","$50,000 to $59,999"
"175","ind1155","1883","0-4","m","$60,000 to $74,999"
"176","ind1156","1998","0-4","m","$75,000 to $99,999"
"177","ind1157","1600","0-4","m","$35,000 to $39,999"
"178","ind1158","1840","0-4","m","$50,000 to $59,999"
"179","ind1159","1594","0-4","m","$35,000 to $39,999"
"180","ind116","1725","0-4","m","$45,000 to $49,999"
"181","ind1160","2022","0-4","m","$100,000 to $124,999"
"182","ind1161","1873","0-4","m","$60,000 to $74,999"
"183","ind1162","1935","0-4","m","$60,000 to $74,999"
"184","ind1163","1927","0-4","m","$60,000 to $74,999"
"185","ind1164","1913","0-4","m","$60,000 to $74,999"
"186","ind1165","1640","0-4","m","$50,000 to $59,999"
"187","ind1166","1878","0-4","m","$60,000 to $74,999"
"188","ind1167","2002","0-4","m","$25,000 to $29,999"
"189","ind1168","1469","0-4","m","$10,000 to $14,999"
"190","ind1169","1615","0-4","m","$35,000 to $39,999"
"191","ind117","1902","0-4","m","$60,000 to $74,999"
"192","ind1170","1942","0-4","m","$60,000 to $74,999"
"193","ind1171","2011","0-4","m","$75,000 to $99,999"
"194","ind1172","1759","0-4","m","$50,000 to $59,999"
"195","ind1173","2000","0-4","m","$75,000 to $99,999"
"196","ind1174","2013","0-4","m","$60,000 to $74,999"
"197","ind1175","1888","0-4","m","$10,000 to $14,999"
"198","ind1176","1887","0-4","m","$10,000 to $14,999"
"199","ind1177","1672","0-4","m","$40,000 to $44,999"
"200","ind1178","1790","0-4","m","$50,000 to $59,999"
"201","ind1179","2001","0-4","m","$75,000 to $99,999"
"202","ind118","1787","0-4","m","$50,000 to $59,999"
"203","ind1180","2004","0-4","m","$60,000 to $74,999"
"204","ind1181","1701","0-4","m","$45,000 to $49,999"
"205","ind1182","1569","0-4","m","$35,000 to $39,999"
"206","ind1183","1760","0-4","m","$50,000 to $59,999"
"207","ind1184","1610","0-4","m","$40,000 to $44,999"
"208","ind1185","1856","0-4","m","$50,000 to $59,999"
"209","ind1186","2032","0-4","m",NA
"210","ind1187","1899","0-4","m","$60,000 to $74,999"
"211","ind1188","1966","0-4","m","$60,000 to $74,999"
"212","ind1189","1934","0-4","m","$60,000 to $74,999"
"213","ind119",NA,"0-4","m",NA
"214","ind1190","1766","0-4","m","$50,000 to $59,999"
"215","ind1191","1676","5-9","m","$40,000 to $44,999"
"216","ind1192","1707","5-9","m","$45,000 to $49,999"
"217","ind1193","1735","5-9","m","$45,000 to $49,999"
"218","ind1194","1664","5-9","m","$40,000 to $44,999"
"219","ind1195","1906","5-9","m","$60,000 to $74,999"
"220","ind1196","1788","5-9","m","$50,000 to $59,999"
"221","ind1197","2011","5-9","m","$75,000 to $99,999"
"222","ind1198","1717","5-9","m","$45,000 to $49,999"
"223","ind1199","2023","5-9","m","$100,000 to $124,999"
"224","ind12","1927","5-9","m","$60,000 to $74,999"
"225","ind120","1688","5-9","m","$45,000 to $49,999"
"226","ind1200","2003","5-9","m","$60,000 to $74,999"
"227","ind1201","1862","5-9","m","$50,000 to $59,999"
"228","ind1202","1816","5-9","m","$50,000 to $59,999"
"229","ind1203","1866","5-9","m","$60,000 to $74,999"
"230","ind1204","2014","5-9","m","$75,000 to $99,999"
"231","ind1205","1662","5-9","m","$40,000 to $44,999"
"232","ind1206","1991","5-9","m","$75,000 to $99,999"
"233","ind1207","1772","5-9","m","$50,000 to $59,999"
"234","ind1208","1607","5-9","m","$35,000 to $39,999"
"235","ind1209","1945","5-9","m","$60,000 to $74,999"
"236","ind121","1870","5-9","m","$60,000 to $74,999"
"237","ind1210","1929","5-9","m","$60,000 to $74,999"
"238","ind1211","1851","5-9","m","$50,000 to $59,999"
"239","ind1212","1639","5-9","m","$50,000 to $59,999"
"240","ind1213","1677","5-9","m","$40,000 to $44,999"
"241","ind1214","1620","5-9","m","$40,000 to $44,999"
"242","ind1215","1983","5-9","m","$75,000 to $99,999"
"243","ind1216","1891","5-9","m","$60,000 to $74,999"
"244","ind1217","1981","5-9","m","$75,000 to $99,999"
"245","ind1218","1857","5-9","m","$50,000 to $59,999"
"246","ind1219","2013","5-9","m","$60,000 to $74,999"
"247","ind122","1932","5-9","m","$60,000 to $74,999"
"248","ind1220","1917","5-9","m","$60,000 to $74,999"
"249","ind1221","1582","5-9","m","$40,000 to $44,999"
"250","ind1222","1677","5-9","m","$40,000 to $44,999"
"251","ind1223","1827","5-9","m","$50,000 to $59,999"
"252","ind1224","1829","5-9","m","$50,000 to $59,999"
"253","ind1225","1965","5-9","m","$60,000 to $74,999"
"254","ind1226","1827","5-9","m","$50,000 to $59,999"
"255","ind1227","1942","5-9","m","$60,000 to $74,999"
"256","ind1228","1885","5-9","m","$60,000 to $74,999"
"257","ind1229","1967","5-9","m","$60,000 to $74,999"
"258","ind123","1598","5-9","m","$40,000 to $44,999"
"259","ind1230","1673","5-9","m","$10,000 to $14,999"
"260","ind1231","1740","5-9","m","$45,000 to $49,999"
"261","ind1232","2005","5-9","m","$60,000 to $74,999"
"262","ind1233","1571","5-9","m","$35,000 to $39,999"
"263","ind1234","1602","5-9","m","$35,000 to $39,999"
"264","ind1235","1617","5-9","m","$35,000 to $39,999"
"265","ind1236","1703","5-9","m","$45,000 to $49,999"
"266","ind1237","1954","5-9","m","$60,000 to $74,999"
"267","ind1238","1990","5-9","m","$60,000 to $74,999"
"268","ind1239","1986","5-9","m","$75,000 to $99,999"
"269","ind124","1638","5-9","m","$45,000 to $49,999"
"270","ind1240","1958","5-9","m","$60,000 to $74,999"
"271","ind1241","1745","5-9","m","$50,000 to $59,999"
"272","ind1242","1741","5-9","m","$45,000 to $49,999"
"273","ind1243","1844","5-9","m","$50,000 to $59,999"
"274","ind1244","1928","5-9","m","$60,000 to $74,999"
"275","ind1245","1865","5-9","m","$50,000 to $59,999"
"276","ind1246","2006","5-9","m","$75,000 to $99,999"
"277","ind1247","1867","5-9","m","$60,000 to $74,999"
"278","ind1248","1733","5-9","m","$45,000 to $49,999"
"279","ind1249","1949","5-9","m","$60,000 to $74,999"
"280","ind125","1922","5-9","m","$60,000 to $74,999"
"281","ind1250","1915","5-9","m","$60,000 to $74,999"
"282","ind1251","1605","5-9","m","$40,000 to $44,999"
"283","ind1252","1866","5-9","m","$60,000 to $74,999"
"284","ind1253","1612","5-9","m","$35,000 to $39,999"
"285","ind1254","1829","5-9","m","$50,000 to $59,999"
"286","ind1255","2081","5-9","m",NA
"287","ind1256","1931","5-9","m","$60,000 to $74,999"
"288","ind1257","1814","5-9","m","$50,000 to $59,999"
"289","ind1258","2009","5-9","m","$75,000 to $99,999"
"290","ind1259","1943","5-9","m","$60,000 to $74,999"
"291","ind126","1752","5-9","m","$50,000 to $59,999"
"292","ind1260","1687","5-9","m","$45,000 to $49,999"
"293","ind1261","2021","5-9","m","$100,000 to $124,999"
"294","ind1262","1741","5-9","m","$45,000 to $49,999"
"295","ind1263","1801","5-9","m","$50,000 to $59,999"
"296","ind1264","1846","5-9","m","$50,000 to $59,999"
"297","ind1265","1792","5-9","m","$50,000 to $59,999"
"298","ind1266","1848","5-9","m","$60,000 to $74,999"
"299","ind1267","1753","5-9","m","$50,000 to $59,999"
"300","ind1268","1782","5-9","m","$50,000 to $59,999"
"301","ind1269","1963","5-9","m","$60,000 to $74,999"
"302","ind127","1922","5-9","m","$60,000 to $74,999"
"303","ind1270","1892","5-9","m","$60,000 to $74,999"
"304","ind1271","1661","5-9","m","$50,000 to $59,999"
"305","ind1272","1978","5-9","m","$75,000 to $99,999"
"306","ind1273","1957","5-9","m","$60,000 to $74,999"
"307","ind1274","1661","5-9","m","$50,000 to $59,999"
"308","ind1275","1921","5-9","m","$60,000 to $74,999"
"309","ind1276","1794","5-9","m","$50,000 to $59,999"
"310","ind1277","1653","5-9","m","$40,000 to $44,999"
"311","ind1278","1902","5-9","m","$60,000 to $74,999"
"312","ind1279","1580","5-9","m","$40,000 to $44,999"
"313","ind128","1811","5-9","m","$60,000 to $74,999"
"314","ind1280","1944","5-9","m","$60,000 to $74,999"
"315","ind1281","1985","5-9","m","$75,000 to $99,999"
"316","ind1282","1802","5-9","m","$50,000 to $59,999"
"317","ind1283","1613","5-9","m","$40,000 to $44,999"
"318","ind1284","1893","5-9","m","$60,000 to $74,999"
"319","ind1285","1993","5-9","m","$75,000 to $99,999"
"320","ind1286","1861","5-9","m","$50,000 to $59,999"
"321","ind1287","1824","5-9","m","$60,000 to $74,999"
"322","ind1288","1786","5-9","m","$50,000 to $59,999"
"323","ind1289","1566","10-14","m","$40,000 to $44,999"
"324","ind129","1950","10-14","m","$60,000 to $74,999"
"325","ind1290","1886","10-14","m","$60,000 to $74,999"
"326","ind1291","1831","10-14","m","$50,000 to $59,999"
"327","ind1292","1731","10-14","m","$45,000 to $49,999"
"328","ind1293","1950","10-14","m","$60,000 to $74,999"
"329","ind1294","1946","10-14","m","$60,000 to $74,999"
"330","ind1295","1797","10-14","m","$50,000 to $59,999"
"331","ind1296","1440","10-14","m","$25,000 to $29,999"
"332","ind1297","1948","10-14","m","$60,000 to $74,999"
"333","ind1298","1611","10-14","m","$35,000 to $39,999"
"334","ind1299","1982","10-14","m","$75,000 to $99,999"
"335","ind13","1728","10-14","m","$45,000 to $49,999"
"336","ind130","1962","10-14","m","$60,000 to $74,999"
"337","ind1300","1882","10-14","m","$60,000 to $74,999"
"338","ind1301","1884","10-14","m","$60,000 to $74,999"
"339","ind1302","2021","10-14","m","$100,000 to $124,999"
"340","ind1303","1561","10-14","m","$35,000 to $39,999"
"341","ind1304","1458","10-14","m","$10,000 to $14,999"
"342","ind1305","2024","10-14","m","$25,000 to $29,999"
"343","ind1306","1931","10-14","m","$60,000 to $74,999"
"344","ind1307","1822","10-14","m","$50,000 to $59,999"
"345","ind1308","1818","10-14","m","$50,000 to $59,999"
"346","ind1309","2005","10-14","m","$60,000 to $74,999"
"347","ind131","1977","10-14","m","$60,000 to $74,999"
"348","ind1310","1868","10-14","m","$60,000 to $74,999"
"349","ind1311","1442","10-14","m","$25,000 to $29,999"
"350","ind1312","2029","10-14","m","$100,000 to $124,999"
"351","ind1313","1809","10-14","m","$50,000 to $59,999"
"352","ind1314","1704","10-14","m","$45,000 to $49,999"
"353","ind1315","1464","10-14","m","$35,000 to $39,999"
"354","ind1316","1937","10-14","m","$60,000 to $74,999"
"355","ind1317","1574","10-14","m","$35,000 to $39,999"
"356","ind1318","1593","10-14","m","$40,000 to $44,999"
"357","ind1319","1828","10-14","m","$50,000 to $59,999"
"358","ind132","1719","10-14","m","$45,000 to $49,999"
"359","ind1320","1933","10-14","m","$60,000 to $74,999"
"360","ind1321","1819","10-14","m","$50,000 to $59,999"
"361","ind1322","1860","10-14","m","$10,000 to $14,999"
"362","ind1323","1812","10-14","m","$50,000 to $59,999"
"363","ind1324","1967","10-14","m","$60,000 to $74,999"
"364","ind1325","1861","10-14","m","$50,000 to $59,999"
"365","ind1326","1717","10-14","m","$45,000 to $49,999"
"366","ind1327","1725","10-14","m","$45,000 to $49,999"
"367","ind1328","1854","10-14","m","$60,000 to $74,999"
"368","ind1329","1631","10-14","m","$45,000 to $49,999"
"369","ind133","1772","10-14","m","$50,000 to $59,999"
"370","ind1330","1806","10-14","m","$10,000 to $14,999"
"371","ind1331","1682","10-14","m","$40,000 to $44,999"
"372","ind1332","2018","10-14","m","$60,000 to $74,999"
"373","ind1333","1971","10-14","m","$60,000 to $74,999"
"374","ind1334","1841","10-14","m","$50,000 to $59,999"
"375","ind1335","1951","10-14","m","$60,000 to $74,999"
"376","ind1336","1754","10-14","m","$50,000 to $59,999"
"377","ind1337","1961","10-14","m","$60,000 to $74,999"
"378","ind1338","1665","10-14","m","$40,000 to $44,999"
"379","ind1339","1983","10-14","m","$75,000 to $99,999"
"380","ind134","1912","10-14","m","$60,000 to $74,999"
"381","ind1340","1675","10-14","m","$40,000 to $44,999"
"382","ind1341","1963","10-14","m","$60,000 to $74,999"
"383","ind1342","1875","10-14","m","$60,000 to $74,999"
"384","ind1343","1727","10-14","m","$45,000 to $49,999"
"385","ind1344","1644","10-14","m","$40,000 to $44,999"
"386","ind1345","1979","10-14","m","$75,000 to $99,999"
"387","ind1346","1758","10-14","m","$50,000 to $59,999"
"388","ind1347","1466","10-14","m","$10,000 to $14,999"
"389","ind1348","1663","10-14","m","$40,000 to $44,999"
"390","ind1349","1621","10-14","m","$10,000 to $14,999"
"391","ind135","1992","10-14","m","$60,000 to $74,999"
"392","ind1350","1943","10-14","m","$60,000 to $74,999"
"393","ind1351","1702","10-14","m","$45,000 to $49,999"
"394","ind1352","1432","10-14","m","$35,000 to $39,999"
"395","ind1353","1629","10-14","m","$45,000 to $49,999"
"396","ind1354","1734","10-14","m","$45,000 to $49,999"
"397","ind1355","1556","10-14","m","$40,000 to $44,999"
"398","ind1356","1770","10-14","m","$50,000 to $59,999"
"399","ind1357","1470","10-14","m","$35,000 to $39,999"
"400","ind1358","1686","10-14","m","$45,000 to $49,999"
"401","ind1359","1831","10-14","m","$50,000 to $59,999"
"402","ind136","2014","10-14","m","$75,000 to $99,999"
"403","ind1360","1722","10-14","m","$45,000 to $49,999"
"404","ind1361","1799","10-14","m","$50,000 to $59,999"
"405","ind1362","1606","10-14","m","$35,000 to $39,999"
"406","ind1363","1463","10-14","m","$35,000 to $39,999"
"407","ind1364","1934","10-14","m","$60,000 to $74,999"
"408","ind1365","1869","10-14","m","$60,000 to $74,999"
"409","ind1366","1859","10-14","m","$50,000 to $59,999"
"410","ind1367","1897","10-14","m","$60,000 to $74,999"
"411","ind1368","2015","10-14","m","$100,000 to $124,999"
"412","ind1369","1642","10-14","m","$40,000 to $44,999"
"413","ind137","1866","10-14","m","$60,000 to $74,999"
"414","ind1370","1946","10-14","m","$60,000 to $74,999"
"415","ind1371","1742","10-14","m","$45,000 to $49,999"
"416","ind1372","1779","10-14","m","$50,000 to $59,999"
"417","ind1373","2006","10-14","m","$75,000 to $99,999"
"418","ind1374","1965","10-14","m","$60,000 to $74,999"
"419","ind1375","1983","10-14","m","$75,000 to $99,999"
"420","ind1376","1817","10-14","m","$50,000 to $59,999"
"421","ind1377","1916","10-14","m","$60,000 to $74,999"
"422","ind1378","1720","10-14","m","$50,000 to $59,999"
"423","ind1379","1762","10-14","m","$50,000 to $59,999"
"424","ind138","1683","10-14","m","$50,000 to $59,999"
"425","ind1380","2002","10-14","m","$25,000 to $29,999"
"426","ind1381","1923","10-14","m","$60,000 to $74,999"
"427","ind1382","1965","10-14","m","$60,000 to $74,999"
"428","ind1383","1969","10-14","m","$60,000 to $74,999"
"429","ind1384","1728","10-14","m","$45,000 to $49,999"
"430","ind1385","1721","10-14","m","$45,000 to $49,999"
"431","ind1386","1900","10-14","m","$60,000 to $74,999"
"432","ind1387","1910","10-14","m","$60,000 to $74,999"
"433","ind1388","1918","10-14","m","$60,000 to $74,999"
"434","ind1389","1672","10-14","m","$40,000 to $44,999"
"435","ind139","1923","10-14","m","$60,000 to $74,999"
"436","ind1390","1818","10-14","m","$50,000 to $59,999"
"437","ind1391","1585","10-14","m","$35,000 to $39,999"
"438","ind1392","1623","10-14","m","$40,000 to $44,999"
"439","ind1393","1947","10-14","m","$60,000 to $74,999"
"440","ind1394","1957","10-14","m","$60,000 to $74,999"
"441","ind1395","1820","10-14","m","$60,000 to $74,999"
"442","ind1396","1671","10-14","m","$40,000 to $44,999"
"443","ind1397","1700","10-14","m","$50,000 to $59,999"
"444","ind1398","2022","10-14","m","$100,000 to $124,999"
"445","ind1399","1587","10-14","m","$40,000 to $44,999"
"446","ind14","1795","10-14","m","$50,000 to $59,999"
"447","ind140","1430","10-14","m","$25,000 to $29,999"
"448","ind1400","1699","10-14","m","$45,000 to $49,999"
"449","ind1401","1844","10-14","m","$50,000 to $59,999"
"450","ind1402","1864","10-14","m","$60,000 to $74,999"
"451","ind1403","1679","10-14","m","$40,000 to $44,999"
"452","ind1404","1974","10-14","m","$10,000 to $14,999"
"453","ind1405","1944","10-14","m","$60,000 to $74,999"
"454","ind1406","1461","10-14","m","$10,000 to $14,999"
"455","ind1407","1765","10-14","m","$50,000 to $59,999"
"456","ind1408","1997","10-14","m","$75,000 to $99,999"
"457","ind1409","1889","10-14","m","$60,000 to $74,999"
"458","ind141","1806","10-14","m","$10,000 to $14,999"
"459","ind1410","1743","10-14","m","$45,000 to $49,999"
"460","ind1411","1828","10-14","m","$50,000 to $59,999"
"461","ind1412","1868","10-14","m","$60,000 to $74,999"
"462","ind1413","1716","10-14","m","$45,000 to $49,999"
"463","ind1414","1764","10-14","m","$50,000 to $59,999"
"464","ind1415","1973","10-14","m","$60,000 to $74,999"
"465","ind1416","1895","10-14","m","$60,000 to $74,999"
"466","ind1417","1771","10-14","m","$50,000 to $59,999"
"467","ind1418","1875","10-14","m","$60,000 to $74,999"
"468","ind1419","1763","10-14","m","$50,000 to $59,999"
"469","ind142","1941","10-14","m","$60,000 to $74,999"
"470","ind1420","2019","10-14","m","$100,000 to $124,999"
"471","ind1421","1981","10-14","m","$75,000 to $99,999"
"472","ind1422","1686","10-14","m","$45,000 to $49,999"
"473","ind1423","1748","10-14","m","$50,000 to $59,999"
"474","ind1424","1749","10-14","m","$50,000 to $59,999"
"475","ind1425","1858","10-14","m","$50,000 to $59,999"
"476","ind1426","1607","10-14","m","$35,000 to $39,999"
"477","ind1427","1941","10-14","m","$60,000 to $74,999"
"478","ind1428","1694","10-14","m","$45,000 to $49,999"
"479","ind1429","2000","10-14","m","$75,000 to $99,999"
"480","ind143","1462","10-14","m","$35,000 to $39,999"
"481","ind1430","1739","10-14","m","$45,000 to $49,999"
"482","ind1431","1690","10-14","m","$50,000 to $59,999"
"483","ind1432","1618","10-14","m","$35,000 to $39,999"
"484","ind1433","1758","10-14","m","$50,000 to $59,999"
