"","Ind","age","sex","house","income"
"118","ind7142","40-44","f","1011","Less than $10,000"
"119","ind6890","35-39","f","1013","Less than $10,000"
"120","ind7161","40-44","f","1016","Less than $10,000"
"121","ind6738","35-39","f","1017","Less than $10,000"
"122","ind6883","35-39","f","1025","Less than $10,000"
"123","ind7040","40-44","f","1031","Less than $10,000"
"124","ind6754","35-39","f","1032","Less than $10,000"
"125","ind6869","35-39","f","1033","Less than $10,000"
"126","ind6782","35-39","f","1036","Less than $10,000"
"127","ind1967","35-39","m","104","Less than $10,000"
"128","ind6873","35-39","f","1041","Less than $10,000"
"129","ind7191","40-44","f","1042","Less than $10,000"
"130","ind6918","35-39","f","1045","Less than $10,000"
"131","ind2034","40-44","m","105","Less than $10,000"
"132","ind6831","35-39","f","1053","Less than $10,000"
"133","ind6829","35-39","f","1055","Less than $10,000"
"134","ind6885","35-39","f","1058","Less than $10,000"
"135","ind2096","40-44","m","106","Less than $10,000"
"136","ind7173","40-44","f","1062","Less than $10,000"
"137","ind6784","35-39","f","1063","Less than $10,000"
"138","ind6990","35-39","f","1076","Less than $10,000"
"139","ind7043","40-44","f","1078","Less than $10,000"
"140","ind2016","40-44","m","108","Less than $10,000"
"141","ind1647","30-34","m","11","Less than $10,000"
"142","ind1814","35-39","m","111","Less than $10,000"
"143","ind2088","40-44","m","112","Less than $10,000"
"144","ind1831","35-39","m","113","Less than $10,000"
"145","ind1493","30-34","m","12","Less than $10,000"
"146","ind2041","40-44","m","123","Less than $10,000"
"147","ind175","35-39","m","128","Less than $10,000"
"148","ind2077","40-44","m","133","Less than $10,000"
"149","ind2244","40-44","m","137","Less than $10,000"
"150","ind1416","30-34","m","14","Less than $10,000"
"151","ind1839","35-39","m","145","Less than $10,000"
"152","ind1763","35-39","m","148","Less than $10,000"
"153","ind2093","40-44","m","164","Less than $10,000"
"154","ind1146","25-29","m","17","Less than $10,000"
"155","ind224","40-44","m","171","Less than $10,000"
"156","ind1721","35-39","m","173","Less than $10,000"
"157","ind2264","40-44","m","175","Less than $10,000"
"158","ind11471","25-29","m","18","Less than $10,000"
"159","ind1901","35-39","m","183","Less than $10,000"
"160","ind2104","40-44","m","184","Less than $10,000"
"161","ind1902","35-39","m","186","Less than $10,000"
"162","ind1187","25-29","m","19","Less than $10,000"
"163","ind2150","40-44","m","190","Less than $10,000"
"164","ind1802","35-39","m","193","Less than $10,000"
"165","ind2178","40-44","m","197","Less than $10,000"
"166","ind1552","30-34","m","2","Less than $10,000"
"167","ind1500","30-34","m","20","Less than $10,000"
"168","ind2145","40-44","m","200","Less than $10,000"
"169","ind1790","35-39","m","205","Less than $10,000"
"170","ind1288","25-29","m","21","Less than $10,000"
"171","ind1824","35-39","m","213","Less than $10,000"
"172","ind11476","25-29","m","22","Less than $10,000"
"173","ind2007","40-44","m","220","Less than $10,000"
"174","ind2209","40-44","m","223","Less than $10,000"
"175","ind1943","35-39","m","2234","Less than $10,000"
"176","ind1957","35-39","m","2248","Less than $10,000"
"177","ind2022","40-44","m","225","Less than $10,000"
"178","ind1654","30-34","m","2252","Less than $10,000"
"179","ind223","40-44","m","2254","Less than $10,000"
"180","ind1498","30-34","m","2256","Less than $10,000"
"181","ind1827","35-39","m","226","Less than $10,000"
"182","ind1150","25-29","m","2262","Less than $10,000"
"183","ind1464","30-34","m","2263","Less than $10,000"
"184","ind1447","30-34","m","2264","Less than $10,000"
"185","ind6948","35-39","f","2513","$20,000 to $24,999"
"186","ind1700","30-34","m","2515","$20,000 to $24,999"
"187","ind2193","40-44","m","252","$20,000 to $24,999"
"188","ind1219","25-29","m","2520","$20,000 to $24,999"
"189","ind1497","30-34","m","2522","$20,000 to $24,999"
"190","ind11498","25-29","m","2527","$20,000 to $24,999"
"191","ind7199","40-44","f","2531","$20,000 to $24,999"
"192","ind1823","35-39","m","2538","$20,000 to $24,999"
"193","ind1499","30-34","m","2543","$20,000 to $24,999"
"194","ind6466","30-34","f","2548","$20,000 to $24,999"
"195","ind2230","40-44","m","2549","$20,000 to $24,999"
"196","ind1912","35-39","m","2550","$20,000 to $24,999"
"197","ind1537","30-34","m","2551","$20,000 to $24,999"
"198","ind192","35-39","m","256","$20,000 to $24,999"
"199","ind2045","40-44","m","2563","$20,000 to $24,999"
"200","ind6931","35-39","f","2569","$20,000 to $24,999"
"201","ind2210","40-44","m","257","$20,000 to $24,999"
"202","ind11521","25-29","m","2573","$20,000 to $24,999"
"203","ind638","25-29","f","2574","$20,000 to $24,999"
"204","ind6496","30-34","f","2576","$20,000 to $24,999"
"205","ind1156","25-29","m","2577","$20,000 to $24,999"
"206","ind1712","30-34","m","2578","$20,000 to $24,999"
"207","ind6796","35-39","f","2580","$20,000 to $24,999"
"208","ind1534","30-34","m","2582","$20,000 to $24,999"
"209","ind1463","30-34","m","2583","$20,000 to $24,999"
"210","ind1612","30-34","m","2589","$20,000 to $24,999"
"211","ind706","40-44","f","2593","$20,000 to $24,999"
"212","ind1473","30-34","m","26","$20,000 to $24,999"
"213","ind6611","30-34","f","2600","$20,000 to $24,999"
"214","ind11484","25-29","m","2606","$20,000 to $24,999"
"215","ind206","40-44","m","2608","$20,000 to $24,999"
"216","ind1950","35-39","m","261","$20,000 to $24,999"
"217","ind1525","30-34","m","2611","$20,000 to $24,999"
"218","ind6570","30-34","f","2613","$20,000 to $24,999"
"219","ind2224","40-44","m","2615","$20,000 to $24,999"
"220","ind6778","35-39","f","2616","$20,000 to $24,999"
"221","ind1572","30-34","m","2617","$20,000 to $24,999"
"222","ind6389","25-29","f","2618","$20,000 to $24,999"
"223","ind1432","30-34","m","2624","$20,000 to $24,999"
"224","ind1585","30-34","m","2625","$20,000 to $24,999"
"225","ind1883","35-39","m","2627","$20,000 to $24,999"
"226","ind1905","35-39","m","2635","$20,000 to $24,999"
"227","ind1894","35-39","m","2645","$20,000 to $24,999"
"228","ind1217","25-29","m","2651","$20,000 to $24,999"
"229","ind11448","25-29","m","2653","$20,000 to $24,999"
"230","ind1775","35-39","m","2656","$20,000 to $24,999"
"231","ind1811","35-39","m","2658","$20,000 to $24,999"
"232","ind1368","25-29","m","2666","$20,000 to $24,999"
"233","ind6151","25-29","f","2668","$20,000 to $24,999"
"234","ind1783","35-39","m","267","$20,000 to $24,999"
"235","ind16","30-34","m","2670","$20,000 to $24,999"
"236","ind11534","25-29","m","2676","$20,000 to $24,999"
"237","ind11537","25-29","m","2677","$20,000 to $24,999"
"238","ind2197","40-44","m","2678","$20,000 to $24,999"
"239","ind631","25-29","f","2679","$20,000 to $24,999"
"240","ind195","35-39","m","2684","$20,000 to $24,999"
"241","ind202","40-44","m","2685","$20,000 to $24,999"
"242","ind1242","25-29","m","2688","$20,000 to $24,999"
"243","ind1709","30-34","m","2693","$20,000 to $24,999"
"244","ind6495","30-34","f","2697","$20,000 to $24,999"
"245","ind1666","30-34","m","27","$20,000 to $24,999"
"246","ind1863","35-39","m","2703","$20,000 to $24,999"
"247","ind11477","25-29","m","2705","$20,000 to $24,999"
"248","ind1245","25-29","m","2709","$20,000 to $24,999"
"249","ind2250","40-44","m","2711","$20,000 to $24,999"
"250","ind1509","30-34","m","2715","$20,000 to $24,999"
"251","ind210","40-44","m","2726","$20,000 to $24,999"
"252","ind7000","35-39","f","2729","$20,000 to $24,999"
"253","ind2136","40-44","m","273","$20,000 to $24,999"
"254","ind1923","35-39","m","2733","$20,000 to $24,999"
"255","ind11442","25-29","m","2740","$20,000 to $24,999"
"256","ind1208","25-29","m","2746","$20,000 to $24,999"
"257","ind2237","40-44","m","2747","$20,000 to $24,999"
"258","ind1657","30-34","m","2753","$20,000 to $24,999"
"259","ind1206","25-29","m","2756","$20,000 to $24,999"
"260","ind146","30-34","m","2763","$20,000 to $24,999"
"261","ind1570","30-34","m","2765","$20,000 to $24,999"
"262","ind1713","30-34","m","2769","$25,000 to $29,999"
"263","ind2212","40-44","m","277","$25,000 to $29,999"
"264","ind1604","30-34","m","2770","$25,000 to $29,999"
"265","ind1876","35-39","m","2772","$25,000 to $29,999"
"266","ind2051","40-44","m","2775","$25,000 to $29,999"
"267","ind2211","40-44","m","2788","$25,000 to $29,999"
"268","ind1909","35-39","m","279","$25,000 to $29,999"
"269","ind6766","35-39","f","2794","$25,000 to $29,999"
"270","ind11496","25-29","m","28","$25,000 to $29,999"
"271","ind1426","30-34","m","2806","$25,000 to $29,999"
"272","ind6171","25-29","f","2808","$25,000 to $29,999"
"273","ind1965","35-39","m","2809","$25,000 to $29,999"
"274","ind2125","40-44","m","2812","$25,000 to $29,999"
"275","ind1933","35-39","m","2818","$25,000 to $29,999"
"276","ind1809","35-39","m","2823","$25,000 to $29,999"
"277","ind6964","35-39","f","2828","$25,000 to $29,999"
"278","ind172","30-34","m","2840","$25,000 to $29,999"
"279","ind1544","30-34","m","2848","$25,000 to $29,999"
"280","ind6483","30-34","f","2850","$25,000 to $29,999"
"281","ind1236","25-29","m","2859","$25,000 to $29,999"
"282","ind1730","35-39","m","2860","$25,000 to $29,999"
"283","ind2103","40-44","m","2862","$25,000 to $29,999"
"284","ind2","40-44","m","2869","$25,000 to $29,999"
"285","ind1589","30-34","m","2871","$25,000 to $29,999"
"286","ind1415","30-34","m","2873","$25,000 to $29,999"
"287","ind1896","35-39","m","2874","$25,000 to $29,999"
"288","ind1610","30-34","m","2880","$25,000 to $29,999"
"289","ind1801","35-39","m","2882","$25,000 to $29,999"
"290","ind1564","30-34","m","2888","$25,000 to $29,999"
"291","ind1164","25-29","m","2895","$25,000 to $29,999"
"292","ind1356","25-29","m","2898","$25,000 to $29,999"
"293","ind1505","30-34","m","29","$25,000 to $29,999"
"294","ind6755","35-39","f","2900","$25,000 to $29,999"
"295","ind1444","30-34","m","2901","$25,000 to $29,999"
"296","ind1964","35-39","m","2903","$25,000 to $29,999"
"297","ind2149","40-44","m","2908","$25,000 to $29,999"
"298","ind6303","25-29","f","2909","$25,000 to $29,999"
"299","ind2072","40-44","m","291","$25,000 to $29,999"
"300","ind1980","40-44","m","2911","$25,000 to $29,999"
"301","ind2085","40-44","m","2921","$25,000 to $29,999"
"302","ind1659","30-34","m","2925","$25,000 to $29,999"
"303","ind1875","35-39","m","2927","$25,000 to $29,999"
"304","ind1271","25-29","m","2929","$25,000 to $29,999"
"305","ind2239","40-44","m","2934","$25,000 to $29,999"
"306","ind7109","40-44","f","2938","$25,000 to $29,999"
"307","ind1455","30-34","m","2939","$25,000 to $29,999"
"308","ind1280","25-29","m","2940","$25,000 to $29,999"
"309","ind724","40-44","f","2952","$25,000 to $29,999"
"310","ind148","30-34","m","2956","$25,000 to $29,999"
"311","ind1655","30-34","m","2959","$25,000 to $29,999"
"312","ind1144","25-29","m","2964","$25,000 to $29,999"
"313","ind7237","40-44","f","2965","$25,000 to $29,999"
"314","ind1574","30-34","m","2968","$25,000 to $29,999"
"315","ind1889","35-39","m","2972","$25,000 to $29,999"
"316","ind2234","40-44","m","2973","$25,000 to $29,999"
"317","ind1684","30-34","m","2975","$25,000 to $29,999"
"318","ind6893","35-39","f","2976","$30,000 to $34,999"
"319","ind6338","25-29","f","2977","$30,000 to $34,999"
"320","ind6274","25-29","f","2978","$30,000 to $34,999"
"321","ind1784","35-39","m","298","$30,000 to $34,999"
"322","ind1762","35-39","m","2980","$30,000 to $34,999"
"323","ind1319","25-29","m","2983","$30,000 to $34,999"
"324","ind2122","40-44","m","2985","$30,000 to $34,999"
"325","ind1163","25-29","m","2986","$30,000 to $34,999"
"326","ind6806","35-39","f","2987","$30,000 to $34,999"
"327","ind1264","25-29","m","2992","$35,000 to $39,999"
"328","ind1257","25-29","m","2993","$35,000 to $39,999"
"329","ind11494","25-29","m","2995","$35,000 to $39,999"
"330","ind1327","25-29","m","3","$35,000 to $39,999"
"331","ind1161","25-29","m","30","$35,000 to $39,999"
"332","ind1928","35-39","m","3008","$35,000 to $39,999"
"333","ind7153","40-44","f","3011","$35,000 to $39,999"
"334","ind1806","35-39","m","302","$35,000 to $39,999"
"335","ind6473","30-34","f","3023","$35,000 to $39,999"
"336","ind1195","25-29","m","3025","$35,000 to $39,999"
"337","ind1488","30-34","m","3030","$35,000 to $39,999"
"338","ind1172","25-29","m","3033","$35,000 to $39,999"
"339","ind2073","40-44","m","3038","$35,000 to $39,999"
"340","ind1737","35-39","m","3042","$35,000 to $39,999"
"341","ind1394","30-34","m","3043","$35,000 to $39,999"
"342","ind1445","30-34","m","3044","$35,000 to $39,999"
"343","ind6387","25-29","f","3050","$35,000 to $39,999"
"344","ind2135","40-44","m","3057","$35,000 to $39,999"
"345","ind2048","40-44","m","3065","$35,000 to $39,999"
"346","ind1398","30-34","m","3070","$35,000 to $39,999"
"347","ind7218","40-44","f","3076","$35,000 to $39,999"
"348","ind2206","40-44","m","3077","$35,000 to $39,999"
"349","ind2040","40-44","m","3078","$35,000 to $39,999"
"350","ind7143","40-44","f","3079","$35,000 to $39,999"
"351","ind18","35-39","m","3082","$35,000 to $39,999"
"352","ind1598","30-34","m","3093","$35,000 to $39,999"
"353","ind6785","35-39","f","3099","$35,000 to $39,999"
"354","ind155","30-34","m","31","$35,000 to $39,999"
"355","ind1988","40-44","m","3100","$35,000 to $39,999"
"356","ind1201","25-29","m","3102","$35,000 to $39,999"
"357","ind1443","30-34","m","3104","$35,000 to $39,999"
"358","ind1877","35-39","m","3116","$35,000 to $39,999"
"359","ind6282","25-29","f","3118","$35,000 to $39,999"
"360","ind2251","40-44","m","3125","$35,000 to $39,999"
"361","ind1334","25-29","m","3130","$35,000 to $39,999"
"362","ind1567","30-34","m","3131","$35,000 to $39,999"
"363","ind2195","40-44","m","3135","$35,000 to $39,999"
"364","ind2089","40-44","m","314","$35,000 to $39,999"
"365","ind1366","25-29","m","3143","$35,000 to $39,999"
"366","ind1998","40-44","m","315","$35,000 to $39,999"
"367","ind1186","25-29","m","3159","$35,000 to $39,999"
"368","ind1708","30-34","m","3160","$35,000 to $39,999"
"369","ind122","25-29","m","3166","$40,000 to $44,999"
"370","ind6166","25-29","f","3168","$40,000 to $44,999"
"371","ind1563","30-34","m","3174","$40,000 to $44,999"
"372","ind2242","40-44","m","3175","$40,000 to $44,999"
"373","ind1508","30-34","m","3177","$40,000 to $44,999"
"374","ind2218","40-44","m","318","$40,000 to $44,999"
"375","ind161","30-34","m","3181","$40,000 to $44,999"
"376","ind2252","40-44","m","3182","$40,000 to $44,999"
"377","ind6167","25-29","f","3183","$40,000 to $44,999"
"378","ind1391","25-29","m","3187","$40,000 to $44,999"
"379","ind1862","35-39","m","3188","$40,000 to $44,999"
"380","ind6677","30-34","f","3192","$40,000 to $44,999"
"381","ind11478","25-29","m","3194","$40,000 to $44,999"
"382","ind1294","25-29","m","32","$40,000 to $44,999"
"383","ind2146","40-44","m","320","$40,000 to $44,999"
"384","ind1314","25-29","m","3203","$40,000 to $44,999"
"385","ind147","30-34","m","3206","$40,000 to $44,999"
"386","ind2037","40-44","m","321","$40,000 to $44,999"
"387","ind1346","25-29","m","3210","$40,000 to $44,999"
"388","ind1541","30-34","m","3211","$40,000 to $44,999"
"389","ind1817","35-39","m","3217","$40,000 to $44,999"
"390","ind1363","25-29","m","3218","$40,000 to $44,999"
"391","ind11451","25-29","m","3220","$40,000 to $44,999"
"392","ind2169","40-44","m","3229","$40,000 to $44,999"
"393","ind2201","40-44","m","323","$40,000 to $44,999"
"394","ind1548","30-34","m","3233","$40,000 to $44,999"
"395","ind1152","25-29","m","3234","$40,000 to $44,999"
"396","ind1458","30-34","m","3236","$40,000 to $44,999"
"397","ind6947","35-39","f","3238","$40,000 to $44,999"
"398","ind1256","25-29","m","3244","$40,000 to $44,999"
"399","ind2156","40-44","m","3245","$40,000 to $44,999"
"400","ind1275","25-29","m","3249","$40,000 to $44,999"
"401","ind1312","25-29","m","3250","$40,000 to $44,999"
"402","ind6818","35-39","f","3253","$40,000 to $44,999"
"403","ind11526","25-29","m","3255","$40,000 to $44,999"
"404","ind6813","35-39","f","3257","$40,000 to $44,999"
"405","ind11479","25-29","m","3263","$45,000 to $49,999"
"406","ind1744","35-39","m","3268","$45,000 to $49,999"
"407","ind6950","35-39","f","3269","$45,000 to $49,999"
"408","ind1920","35-39","m","327","$45,000 to $49,999"
"409","ind1738","35-39","m","3272","$45,000 to $49,999"
"410","ind1490","30-34","m","3274","$45,000 to $49,999"
"411","ind140","30-34","m","3283","$45,000 to $49,999"
"412","ind14","30-34","m","3289","$45,000 to $49,999"
"413","ind1871","35-39","m","3292","$45,000 to $49,999"
"414","ind1533","30-34","m","3293","$45,000 to $49,999"
"415","ind1698","30-34","m","33","$45,000 to $49,999"
"416","ind1851","35-39","m","3303","$45,000 to $49,999"
"417","ind1778","35-39","m","3305","$45,000 to $49,999"
"418","ind6921","35-39","f","3312","$45,000 to $49,999"
"419","ind7016","40-44","f","3313","$45,000 to $49,999"
"420","ind1834","35-39","m","3321","$45,000 to $49,999"
"421","ind1371","25-29","m","3325","$45,000 to $49,999"
"422","ind6330","25-29","f","3336","$45,000 to $49,999"
"423","ind2191","40-44","m","3338","$45,000 to $49,999"
"424","ind1745","35-39","m","334","$45,000 to $49,999"
"425","ind1665","30-34","m","3340","$45,000 to $49,999"
"426","ind1234","25-29","m","3341","$45,000 to $49,999"
"427","ind2203","40-44","m","3346","$45,000 to $49,999"
"428","ind1602","30-34","m","3349","$45,000 to $49,999"
"429","ind15","30-34","m","3351","$45,000 to $49,999"
"430","ind641","25-29","f","3353","$45,000 to $49,999"
"431","ind1997","40-44","m","3358","$45,000 to $49,999"
"432","ind1968","35-39","m","3360","$45,000 to $49,999"
"433","ind1822","35-39","m","3371","$45,000 to $49,999"
"434","ind142","30-34","m","3379","$45,000 to $49,999"
"435","ind2090","40-44","m","338","$45,000 to $49,999"
"436","ind119","25-29","m","3381","$45,000 to $49,999"
"437","ind1320","25-29","m","3384","$45,000 to $49,999"
"438","ind2226","40-44","m","3389","$45,000 to $49,999"
"439","ind1285","25-29","m","3390","$45,000 to $49,999"
"440","ind2133","40-44","m","3396","$45,000 to $49,999"
"441","ind1428","30-34","m","3399","$45,000 to $49,999"
"442","ind1308","25-29","m","34","$45,000 to $49,999"
"443","ind2227","40-44","m","3403","$45,000 to $49,999"
"444","ind1435","30-34","m","3404","$45,000 to $49,999"
"445","ind6409","25-29","f","3406","$45,000 to $49,999"
"446","ind1867","35-39","m","3409","$45,000 to $49,999"
"447","ind1798","35-39","m","341","$45,000 to $49,999"
"448","ind1515","30-34","m","3416","$45,000 to $49,999"
"449","ind1630","30-34","m","3420","$45,000 to $49,999"
"450","ind6631","30-34","f","3425","$45,000 to $49,999"
"451","ind6901","35-39","f","3440","$45,000 to $49,999"
"452","ind1502","30-34","m","3447","$45,000 to $49,999"
"453","ind11499","25-29","m","3450","$45,000 to $49,999"
"454","ind1369","25-29","m","3455","$45,000 to $49,999"
"455","ind2170","40-44","m","3458","$45,000 to $49,999"
"456","ind6603","30-34","f","3464","$45,000 to $49,999"
"457","ind1361","25-29","m","3465","$45,000 to $49,999"
"458","ind6834","35-39","f","3467","$45,000 to $49,999"
"459","ind1878","35-39","m","3471","$45,000 to $49,999"
"460","ind1188","25-29","m","3481","$45,000 to $49,999"
"461","ind6262","25-29","f","3482","$45,000 to $49,999"
"462","ind7095","40-44","f","3487","$50,000 to $59,999"
"463","ind2165","40-44","m","3489","$50,000 to $59,999"
"464","ind1915","35-39","m","349","$50,000 to $59,999"
"465","ind1569","30-34","m","3490","$50,000 to $59,999"
"466","ind1330","25-29","m","3491","$50,000 to $59,999"
"467","ind1855","35-39","m","3493","$50,000 to $59,999"
"468","ind1276","25-29","m","3496","$50,000 to $59,999"
"469","ind1538","30-34","m","3498","$50,000 to $59,999"
"470","ind1507","30-34","m","3499","$50,000 to $59,999"
"471","ind6497","30-34","f","3502","$50,000 to $59,999"
"472","ind1390","25-29","m","3504","$50,000 to $59,999"
"473","ind1782","35-39","m","352","$50,000 to $59,999"
"474","ind1237","25-29","m","3521","$50,000 to $59,999"
"475","ind1608","30-34","m","3526","$50,000 to $59,999"
"476","ind1510","30-34","m","3528","$50,000 to $59,999"
"477","ind2114","40-44","m","353","$50,000 to $59,999"
"478","ind1754","35-39","m","3531","$50,000 to $59,999"
"479","ind1469","30-34","m","3539","$50,000 to $59,999"
"480","ind141","30-34","m","3541","$50,000 to $59,999"
"481","ind1471","30-34","m","3542","$50,000 to $59,999"
"482","ind11483","25-29","m","3550","$50,000 to $59,999"
"483","ind1292","25-29","m","3557","$50,000 to $59,999"
"484","ind2238","40-44","m","3568","$50,000 to $59,999"
"485","ind1747","35-39","m","357","$50,000 to $59,999"
"486","ind1225","25-29","m","3570","$50,000 to $59,999"
"487","ind1404","30-34","m","3571","$50,000 to $59,999"
"488","ind1148","25-29","m","3572","$50,000 to $59,999"
"489","ind1617","30-34","m","3573","$50,000 to $59,999"
"490","ind2160","40-44","m","358","$50,000 to $59,999"
"491","ind1720","35-39","m","3582","$50,000 to $59,999"
"492","ind1733","35-39","m","3583","$50,000 to $59,999"
"493","ind1946","35-39","m","3584","$50,000 to $59,999"
"494","ind11480","25-29","m","3588","$50,000 to $59,999"
"495","ind1179","25-29","m","3590","$50,000 to $59,999"
"496","ind6281","25-29","f","3594","$50,000 to $59,999"
"497","ind11462","25-29","m","36","$50,000 to $59,999"
