"","Ind","age","sex","house","income"
"92","ind1863","25-29","m","1584","$40,000 to $44,999"
"93","ind1829","25-29","m","1587","$40,000 to $44,999"
"94","ind1923","30-34","m","1593","$40,000 to $44,999"
"95","ind2042","35-39","m","1598","$40,000 to $44,999"
"96","ind4440","40-44","f","1601","$40,000 to $44,999"
"97","ind1831","25-29","m","1603","$40,000 to $44,999"
"98","ind1910","30-34","m","1604","$40,000 to $44,999"
"99","ind4575","40-44","f","1605","$40,000 to $44,999"
"100","ind2012","35-39","m","1610","$40,000 to $44,999"
"101","ind1924","30-34","m","1613","$40,000 to $44,999"
"102","ind2192","40-44","m","1614","$40,000 to $44,999"
"103","ind4473","40-44","f","1620","$40,000 to $44,999"
"104","ind2036","35-39","m","1623","$40,000 to $44,999"
"105","ind208","35-39","m","1624","$40,000 to $44,999"
"106","ind4501","40-44","f","1628","$40,000 to $44,999"
"107","ind1847","25-29","m","1629","$45,000 to $49,999"
"108","ind1875","30-34","m","1631","$45,000 to $49,999"
"109","ind2252","40-44","m","1638","$45,000 to $49,999"
"110","ind4179","25-29","f","1639","$50,000 to $59,999"
"111","ind2102","35-39","m","1640","$50,000 to $59,999"
"112","ind4153","25-29","f","1652","$50,000 to $59,999"
"113","ind1873","30-34","m","1654","$50,000 to $59,999"
"114","ind1856","25-29","m","1658","$50,000 to $59,999"
"115","ind2215","40-44","m","1659","$50,000 to $59,999"
"116","ind2177","40-44","m","1661","$50,000 to $59,999"
"117","ind1835","25-29","m","1666","$50,000 to $59,999"
"118","ind2149","35-39","m","1669","$50,000 to $59,999"
"119","ind4419","40-44","f","1681","$50,000 to $59,999"
"120","ind1982","30-34","m","1683","$50,000 to $59,999"
"121","ind2164","40-44","m","1690","$50,000 to $59,999"
"122","ind2080","35-39","m","1698","$50,000 to $59,999"
"123","ind1931","30-34","m","17","$50,000 to $59,999"
"124","ind2132","35-39","m","1700","$50,000 to $59,999"
"125","ind1921","30-34","m","1720","$50,000 to $59,999"
"126","ind2154","35-39","m","1747","$50,000 to $59,999"
"127","ind4295","30-34","f","1751","$50,000 to $59,999"
"128","ind4383","35-39","f","1767","$50,000 to $59,999"
"129","ind1885","30-34","m","1769","$50,000 to $59,999"
"130","ind1836","25-29","m","1772","$50,000 to $59,999"
"131","ind1827","25-29","m","1776","$50,000 to $59,999"
"132","ind1804","25-29","m","1777","$50,000 to $59,999"
"133","ind1811","25-29","m","1780","$50,000 to $59,999"
"134","ind4368","35-39","f","1782","$50,000 to $59,999"
"135","ind187","25-29","m","1784","$50,000 to $59,999"
"136","ind447","40-44","f","1787","$50,000 to $59,999"
"137","ind4408","35-39","f","1792","$50,000 to $59,999"
"138","ind4290","30-34","f","1795","$50,000 to $59,999"
"139","ind1955","30-34","m","1798","$50,000 to $59,999"
"140","ind1950","30-34","m","18","$50,000 to $59,999"
"141","ind1907","30-34","m","1800","$50,000 to $59,999"
"142","ind4083","25-29","f","1802","$50,000 to $59,999"
"143","ind2096","35-39","m","1803","$60,000 to $74,999"
"144","ind2010","30-34","m","1807","$60,000 to $74,999"
"145","ind2064","35-39","m","1811","$60,000 to $74,999"
"146","ind1986","30-34","m","1820","$60,000 to $74,999"
"147","ind216","40-44","m","1824","$60,000 to $74,999"
"148","ind2217","40-44","m","1825","$60,000 to $74,999"
"149","ind4247","30-34","f","1830","$60,000 to $74,999"
"150","ind2195","40-44","m","1834","$60,000 to $74,999"
"151","ind1895","30-34","m","1835","$60,000 to $74,999"
"152","ind1795","25-29","m","1839","$60,000 to $74,999"
"153","ind1959","30-34","m","1843","$60,000 to $74,999"
"154","ind419","25-29","f","1845","$60,000 to $74,999"
"155","ind2133","35-39","m","1848","$60,000 to $74,999"
"156","ind1794","25-29","m","1850","$60,000 to $74,999"
"157","ind2122","35-39","m","1853","$60,000 to $74,999"
"158","ind2159","40-44","m","1854","$60,000 to $74,999"
"159","ind188","30-34","m","1863","$60,000 to $74,999"
"160","ind2048","35-39","m","1864","$60,000 to $74,999"
"161","ind4374","35-39","f","1873","$60,000 to $74,999"
"162","ind1865","25-29","m","1876","$60,000 to $74,999"
"163","ind1927","30-34","m","1881","$60,000 to $74,999"
"164","ind1914","30-34","m","1883","$60,000 to $74,999"
"165","ind1965","30-34","m","1890","$60,000 to $74,999"
"166","ind2099","35-39","m","1891","$60,000 to $74,999"
"167","ind2094","35-39","m","19","$60,000 to $74,999"
"168","ind4554","40-44","f","1910","$60,000 to $74,999"
"169","ind200","30-34","m","1911","$60,000 to $74,999"
"170","ind1809","25-29","m","1917","$60,000 to $74,999"
"171","ind4125","25-29","f","1929","$60,000 to $74,999"
"172","ind1848","25-29","m","1937","$60,000 to $74,999"
"173","ind1858","25-29","m","1947","$60,000 to $74,999"
"174","ind1883","30-34","m","1948","$60,000 to $74,999"
"175","ind4341","30-34","f","1949","$60,000 to $74,999"
"176","ind2230","40-44","m","1953","$60,000 to $74,999"
"177","ind1928","30-34","m","1954","$60,000 to $74,999"
"178","ind1937","30-34","m","1959","$60,000 to $74,999"
"179","ind1902","30-34","m","1960","$60,000 to $74,999"
"180","ind196","30-34","m","1961","$60,000 to $74,999"
"181","ind2085","35-39","m","1967","$60,000 to $74,999"
"182","ind1948","30-34","m","1973","$60,000 to $74,999"
"183","ind2027","35-39","m","1989","$60,000 to $74,999"
"184","ind2199","40-44","m","1990","$60,000 to $74,999"
"185","ind1793","25-29","m","1992","$60,000 to $74,999"
"186","ind1796","25-29","m","1994","$60,000 to $74,999"
"187","ind220","40-44","m","1996","$60,000 to $74,999"
"188","ind4434","40-44","f","2003","$60,000 to $74,999"
"189","ind411","25-29","f","2004","$60,000 to $74,999"
"190","ind1984","30-34","m","2005","$60,000 to $74,999"
"191","ind2049","35-39","m","2013","$60,000 to $74,999"
"192","ind2204","40-44","m","2018","$60,000 to $74,999"
"193","ind1992","30-34","m","2028","$60,000 to $74,999"
"194","ind1973","30-34","m","2037","$60,000 to $74,999"
"195","ind1882","30-34","m","2043","$60,000 to $74,999"
"196","ind1952","30-34","m","2048","$60,000 to $74,999"
"197","ind2021","35-39","m","2063","$60,000 to $74,999"
"198","ind1871","25-29","m","2069","$60,000 to $74,999"
"199","ind192","30-34","m","2070","$60,000 to $74,999"
"200","ind4186","25-29","f","2074","$60,000 to $74,999"
"201","ind2065","35-39","m","22","$60,000 to $74,999"
"202","ind2225","40-44","m","23","$60,000 to $74,999"
"203","ind211","35-39","m","26","$60,000 to $74,999"
"204","ind4324","30-34","f","264","$60,000 to $74,999"
"205","ind4337","30-34","f","265","$60,000 to $74,999"
"206","ind4221","30-34","f","266","$60,000 to $74,999"
"207","ind4217","30-34","f","267","$60,000 to $74,999"
"208","ind4336","30-34","f","268","$60,000 to $74,999"
"209","ind4237","30-34","f","270","$60,000 to $74,999"
"210","ind4288","30-34","f","271","$60,000 to $74,999"
"211","ind4126","25-29","f","272","$60,000 to $74,999"
"212","ind4130","25-29","f","274","$60,000 to $74,999"
"213","ind4271","30-34","f","275","$60,000 to $74,999"
"214","ind4277","30-34","f","277","$60,000 to $74,999"
"215","ind4279","30-34","f","278","$60,000 to $74,999"
"216","ind4212","30-34","f","279","$60,000 to $74,999"
"217","ind2190","40-44","m","28","$60,000 to $74,999"
"218","ind4325","30-34","f","280","$60,000 to $74,999"
"219","ind418","25-29","f","281","$60,000 to $74,999"
"220","ind430","30-34","f","282","$60,000 to $74,999"
"221","ind4093","25-29","f","283","$60,000 to $74,999"
"222","ind4204","25-29","f","284","$60,000 to $74,999"
"223","ind416","25-29","f","285","$60,000 to $74,999"
"224","ind434","30-34","f","288","$60,000 to $74,999"
"225","ind4104","25-29","f","289","$60,000 to $74,999"
"226","ind2157","35-39","m","29","$60,000 to $74,999"
"227","ind4203","25-29","f","290","$60,000 to $74,999"
"228","ind4165","25-29","f","291","$60,000 to $74,999"
"229","ind4113","25-29","f","292","$60,000 to $74,999"
"230","ind4274","30-34","f","293","$60,000 to $74,999"
"231","ind4281","30-34","f","294","$60,000 to $74,999"
"232","ind4240","30-34","f","295","$60,000 to $74,999"
"233","ind4265","30-34","f","296","$60,000 to $74,999"
"234","ind4183","25-29","f","298","$60,000 to $74,999"
"235","ind2","30-34","m","3","$60,000 to $74,999"
"236","ind4116","25-29","f","300","$60,000 to $74,999"
"237","ind415","25-29","f","302","$60,000 to $74,999"
"238","ind4210","30-34","f","303","$60,000 to $74,999"
"239","ind4099","25-29","f","304","$60,000 to $74,999"
"240","ind4213","30-34","f","305","$60,000 to $74,999"
"241","ind4156","25-29","f","307","$60,000 to $74,999"
"242","ind426","30-34","f","309","$60,000 to $74,999"
"243","ind4270","30-34","f","311","$60,000 to $74,999"
"244","ind4194","25-29","f","313","$60,000 to $74,999"
"245","ind4120","25-29","f","314","$60,000 to $74,999"
"246","ind4552","40-44","f","327","$60,000 to $74,999"
"247","ind2086","35-39","m","33","$60,000 to $74,999"
"248","ind4550","40-44","f","331","$60,000 to $74,999"
"249","ind4484","40-44","f","333","$60,000 to $74,999"
"250","ind4389","35-39","f","344","$60,000 to $74,999"
"251","ind4513","40-44","f","346","$60,000 to $74,999"
"252","ind4531","40-44","f","349","$60,000 to $74,999"
"253","ind4542","40-44","f","350","$60,000 to $74,999"
"254","ind436","35-39","f","353","$60,000 to $74,999"
"255","ind44","35-39","f","355","$60,000 to $74,999"
"256","ind4381","35-39","f","357","$60,000 to $74,999"
"257","ind4412","35-39","f","363","$60,000 to $74,999"
"258","ind4466","40-44","f","369","$60,000 to $74,999"
"259","ind4426","40-44","f","371","$60,000 to $74,999"
"260","ind4519","40-44","f","376","$60,000 to $74,999"
"261","ind2216","40-44","m","39","$60,000 to $74,999"
"262","ind4516","40-44","f","391","$60,000 to $74,999"
"263","ind435","35-39","f","394","$60,000 to $74,999"
"264","ind2249","40-44","m","40","$60,000 to $74,999"
"265","ind4369","35-39","f","402","$60,000 to $74,999"
"266","ind4354","35-39","f","403","$60,000 to $74,999"
"267","ind4442","40-44","f","405","$60,000 to $74,999"
"268","ind4443","40-44","f","407","$60,000 to $74,999"
"269","ind4400","35-39","f","408","$60,000 to $74,999"
"270","ind4518","40-44","f","413","$60,000 to $74,999"
"271","ind4459","40-44","f","418","$60,000 to $74,999"
"272","ind2063","35-39","m","42","$60,000 to $74,999"
"273","ind4499","40-44","f","425","$60,000 to $74,999"
"274","ind4377","35-39","f","434","$60,000 to $74,999"
"275","ind4388","35-39","f","435","$60,000 to $74,999"
"276","ind4397","35-39","f","439","$60,000 to $74,999"
"277","ind2069","35-39","m","44","$60,000 to $74,999"
"278","ind4385","35-39","f","444","$60,000 to $74,999"
"279","ind4430","40-44","f","455","$60,000 to $74,999"
"280","ind4510","40-44","f","459","$60,000 to $74,999"
"281","ind2163","40-44","m","46","$60,000 to $74,999"
"282","ind440","35-39","f","460","$60,000 to $74,999"
"283","ind4492","40-44","f","462","$60,000 to $74,999"
"284","ind4566","40-44","f","466","$60,000 to $74,999"
"285","ind4491","40-44","f","472","$60,000 to $74,999"
"286","ind4568","40-44","f","476","$60,000 to $74,999"
"287","ind2162","40-44","m","48","$60,000 to $74,999"
"288","ind4399","35-39","f","480","$60,000 to $74,999"
"289","ind4482","40-44","f","481","$60,000 to $74,999"
"290","ind4471","40-44","f","482","$75,000 to $99,999"
"291","ind455","40-44","f","485","$75,000 to $99,999"
"292","ind221","40-44","m","49","$75,000 to $99,999"
"293","ind4481","40-44","f","495","$75,000 to $99,999"
"294","ind4371","35-39","f","496","$75,000 to $99,999"
"295","ind4356","35-39","f","497","$75,000 to $99,999"
"296","ind1920","30-34","m","5","$75,000 to $99,999"
"297","ind2257","40-44","m","50","$75,000 to $99,999"
"298","ind2095","35-39","m","53","$75,000 to $99,999"
"299","ind2047","35-39","m","58","$75,000 to $99,999"
"300","ind1908","30-34","m","6","$100,000 to $124,999"
"301","ind2209","40-44","m","62","$100,000 to $124,999"
"302","ind202","35-39","m","67","$100,000 to $124,999"
"303","ind1933","30-34","m","7","$100,000 to $124,999"
"304","ind2179","40-44","m","76","$100,000 to $124,999"
"305","ind2256","40-44","m","78","$100,000 to $124,999"
"306","ind225","40-44","m","81","$100,000 to $124,999"
"307","ind2032","35-39","m","82","$100,000 to $124,999"
"308","ind4250","30-34","f","1216","$20,000 to $24,999"
"309","ind1932","30-34","m","1217","$20,000 to $24,999"
"310","ind1990","30-34","m","1218","$20,000 to $24,999"
"311","ind4517","40-44","f","1227","$20,000 to $24,999"
"312","ind1979","30-34","m","1236","$20,000 to $24,999"
"313","ind4216","30-34","f","1238","$20,000 to $24,999"
"314","ind2026","35-39","m","1240","$20,000 to $24,999"
"315","ind2236","40-44","m","1242","$25,000 to $29,999"
"316","ind1966","30-34","m","1243","$35,000 to $39,999"
"317","ind2174","40-44","m","1247","$35,000 to $39,999"
"318","ind4321","30-34","f","1249","$35,000 to $39,999"
"319","ind1911","30-34","m","1251","$35,000 to $39,999"
"320","ind1961","30-34","m","1253","$35,000 to $39,999"
"321","ind417","25-29","f","1256","$35,000 to $39,999"
"322","ind2017","35-39","m","1258","$35,000 to $39,999"
"323","ind2129","35-39","m","1263","$35,000 to $39,999"
"324","ind2145","35-39","m","1265","$35,000 to $39,999"
"325","ind2045","35-39","m","1282","$35,000 to $39,999"
"326","ind2147","35-39","m","1285","$35,000 to $39,999"
"327","ind4439","40-44","f","1287","$35,000 to $39,999"
"328","ind2233","40-44","m","1293","$35,000 to $39,999"
"329","ind1949","30-34","m","1298","$35,000 to $39,999"
"330","ind1941","30-34","m","13","$35,000 to $39,999"
"331","ind1969","30-34","m","1303","$35,000 to $39,999"
"332","ind4372","35-39","f","1305","$35,000 to $39,999"
"333","ind1802","25-29","m","1307","$35,000 to $39,999"
"334","ind4110","25-29","f","1309","$35,000 to $39,999"
"335","ind4159","25-29","f","1311","$35,000 to $39,999"
"336","ind1817","25-29","m","1326","$35,000 to $39,999"
"337","ind2219","40-44","m","1327","$35,000 to $39,999"
"338","ind2114","35-39","m","1329","$35,000 to $39,999"
"339","ind2155","35-39","m","1330","$35,000 to $39,999"
"340","ind1800","25-29","m","1331","$35,000 to $39,999"
"341","ind1987","30-34","m","1333","$35,000 to $39,999"
"342","ind4496","40-44","f","1337","$35,000 to $39,999"
"343","ind1997","30-34","m","1338","$35,000 to $39,999"
"344","ind449","40-44","f","1339","$35,000 to $39,999"
"345","ind4310","30-34","f","1344","$35,000 to $39,999"
"346","ind2119","35-39","m","1351","$35,000 to $39,999"
"347","ind2127","35-39","m","1357","$35,000 to $39,999"
"348","ind2073","35-39","m","1359","$35,000 to $39,999"
"349","ind2202","40-44","m","1371","$35,000 to $39,999"
"350","ind4378","35-39","f","1375","$35,000 to $39,999"
"351","ind4527","40-44","f","1376","$35,000 to $39,999"
"352","ind4255","30-34","f","1380","$35,000 to $39,999"
"353","ind4338","30-34","f","1381","$35,000 to $39,999"
"354","ind445","40-44","f","1383","$35,000 to $39,999"
"355","ind1964","30-34","m","1385","$35,000 to $39,999"
"356","ind197","30-34","m","1390","$35,000 to $39,999"
"357","ind1977","30-34","m","1391","$35,000 to $39,999"
"358","ind1830","25-29","m","14","$35,000 to $39,999"
"359","ind4398","35-39","f","1401","$35,000 to $39,999"
"360","ind2088","35-39","m","1406","$35,000 to $39,999"
"361","ind4222","30-34","f","1424","$35,000 to $39,999"
"362","ind4315","30-34","f","1432","$35,000 to $39,999"
"363","ind4544","40-44","f","1435","$35,000 to $39,999"
"364","ind4084","25-29","f","1437","$35,000 to $39,999"
"365","ind4528","40-44","f","1439","$35,000 to $39,999"
"366","ind4429","40-44","f","1443","$35,000 to $39,999"
"367","ind4469","40-44","f","1444","$35,000 to $39,999"
"368","ind4139","25-29","f","1445","$35,000 to $39,999"
"369","ind4563","40-44","f","1446","$35,000 to $39,999"
"370","ind4305","30-34","f","1451","$35,000 to $39,999"
"371","ind4191","25-29","f","1452","$35,000 to $39,999"
"372","ind448","40-44","f","1454","$35,000 to $39,999"
"373","ind4319","30-34","f","1455","$35,000 to $39,999"
"374","ind2056","35-39","m","1462","$35,000 to $39,999"
"375","ind190","30-34","m","1463","$35,000 to $39,999"
"376","ind1876","30-34","m","1464","$35,000 to $39,999"
"377","ind2183","40-44","m","1465","$35,000 to $39,999"
"378","ind2218","40-44","m","1468","$35,000 to $39,999"
"379","ind1975","30-34","m","1470","$35,000 to $39,999"
"380","ind2231","40-44","m","1478","$35,000 to $39,999"
"381","ind2188","40-44","m","1482","$35,000 to $39,999"
"382","ind18","25-29","m","1483","$35,000 to $39,999"
"383","ind2116","35-39","m","1486","$35,000 to $39,999"
"384","ind4413","40-44","f","1489","$35,000 to $39,999"
"385","ind2250","40-44","m","1491","$35,000 to $39,999"
"386","ind1946","30-34","m","1494","$35,000 to $39,999"
"387","ind2165","40-44","m","1498","$35,000 to $39,999"
"388","ind1930","30-34","m","15","$35,000 to $39,999"
"389","ind4154","25-29","f","1501","$35,000 to $39,999"
"390","ind2178","40-44","m","1502","$35,000 to $39,999"
"391","ind2144","35-39","m","1504","$35,000 to $39,999"
"392","ind4476","40-44","f","1508","$35,000 to $39,999"
"393","ind41","25-29","f","1509","$35,000 to $39,999"
"394","ind1851","25-29","m","1512","$35,000 to $39,999"
"395","ind2194","40-44","m","1533","$35,000 to $39,999"
"396","ind2034","35-39","m","1537","$35,000 to $39,999"
"397","ind2117","35-39","m","1539","$35,000 to $39,999"
"398","ind2322","50-54","m","1072","Less than $10,000"
"399","ind2397","50-54","m","1073","Less than $10,000"
"400","ind4814","50-54","f","1074","Less than $10,000"
"401","ind2784","62-64","m","1075","Less than $10,000"
"402","ind2799","62-64","m","1076","Less than $10,000"
"403","ind2629","55-59","m","1079","Less than $10,000"
"404","ind2266","45-49","m","1081","Less than $10,000"
"405","ind2670","60-61","m","1084","Less than $10,000"
"406","ind2362","50-54","m","1085","Less than $10,000"
"407","ind2415","50-54","m","1086","Less than $10,000"
"408","ind2762","62-64","m","1087","Less than $10,000"
"409","ind2582","55-59","m","1089","Less than $10,000"
"410","ind4588","45-49","f","1090","Less than $10,000"
"411","ind284","62-64","m","1091","Less than $10,000"
"412","ind5163","60-61","f","1092","Less than $10,000"
"413","ind2688","60-61","m","1094","Less than $10,000"
"414","ind2482","50-54","m","1095","Less than $10,000"
"415","ind2471","50-54","m","1096","Less than $10,000"
"416","ind4646","45-49","f","1098","Less than $10,000"
"417","ind491","55-59","f","1099","Less than $10,000"
"418","ind4888","55-59","f","1100","Less than $10,000"
"419","ind2360","50-54","m","1103","Less than $10,000"
"420","ind5185","60-61","f","1104","Less than $10,000"
"421","ind4772","50-54","f","1105","Less than $10,000"
"422","ind4718","50-54","f","1106","Less than $10,000"
"423","ind2567","55-59","m","1107","Less than $10,000"
"424","ind2788","62-64","m","1108","Less than $10,000"
"425","ind2717","62-64","m","1109","Less than $10,000"
"426","ind4594","45-49","f","1110","Less than $10,000"
"427","ind2811","62-64","m","1111","Less than $10,000"
"428","ind4670","45-49","f","1112","Less than $10,000"
"429","ind2690","60-61","m","1114","Less than $10,000"
"430","ind4716","50-54","f","1116","Less than $10,000"
"431","ind2826","62-64","m","1117","Less than $10,000"
"432","ind2401","50-54","m","1118","Less than $10,000"
"433","ind2365","50-54","m","1119","Less than $10,000"
"434","ind2732","62-64","m","1120","Less than $10,000"
"435","ind4948","55-59","f","1122","Less than $10,000"
"436","ind5068","60-61","f","1123","Less than $10,000"
"437","ind2792","62-64","m","1125","Less than $10,000"
"438","ind2586","55-59","m","1126","Less than $10,000"
"439","ind4996","55-59","f","1127","Less than $10,000"
"440","ind2304","45-49","m","1128","Less than $10,000"
"441","ind2664","60-61","m","1129","Less than $10,000"
"442","ind4887","55-59","f","1130","Less than $10,000"
"443","ind2334","50-54","m","1132","Less than $10,000"
"444","ind5062","55-59","f","1133","Less than $10,000"
"445","ind5157","60-61","f","1134","Less than $10,000"
"446","ind2758","62-64","m","1135","Less than $10,000"
"447","ind4677","45-49","f","1136","Less than $10,000"
"448","ind4673","45-49","f","1137","Less than $10,000"
"449","ind2722","62-64","m","1139","Less than $10,000"
"450","ind5248","62-64","f","1141","Less than $10,000"
"451","ind2280","45-49","m","1142","Less than $10,000"
"452","ind5147","60-61","f","1144","Less than $10,000"
"453","ind2605","55-59","m","1145","Less than $10,000"
"454","ind2817","62-64","m","1146","Less than $10,000"
"455","ind2580","55-59","m","1147","Less than $10,000"
"456","ind2813","62-64","m","1149","Less than $10,000"
"457","ind5106","60-61","f","1152","Less than $10,000"
"458","ind275","62-64","m","1153","Less than $10,000"
"459","ind2804","62-64","m","1154","Less than $10,000"
"460","ind258","55-59","m","1155","Less than $10,000"
"461","ind2344","50-54","m","1156","Less than $10,000"
"462","ind4806","50-54","f","1158","Less than $10,000"
"463","ind2841","62-64","m","1159","Less than $10,000"
"464","ind5226","62-64","f","1160","Less than $10,000"
"465","ind2388","50-54","m","1161","Less than $10,000"
"466","ind2573","55-59","m","1162","Less than $10,000"
"467","ind2383","50-54","m","1163","Less than $10,000"
"468","ind2740","62-64","m","1164","Less than $10,000"
"469","ind2825","62-64","m","1165","Less than $10,000"
"470","ind2812","62-64","m","1166","Less than $10,000"
"471","ind2774","62-64","m","1167","Less than $10,000"
"472","ind2363","50-54","m","1168","Less than $10,000"
"473","ind5117","60-61","f","1169","Less than $10,000"
"474","ind5118","60-61","f","1171","Less than $10,000"
"475","ind2514","55-59","m","1172","Less than $10,000"
"476","ind2442","50-54","m","1173","Less than $10,000"
"477","ind2622","55-59","m","1175","Less than $10,000"
"478","ind2612","55-59","m","1178","Less than $10,000"
"479","ind5108","60-61","f","1180","Less than $10,000"
"480","ind4991","55-59","f","1181","Less than $10,000"
"481","ind2535","55-59","m","1182","Less than $10,000"
"482","ind2373","50-54","m","1183","Less than $10,000"
"483","ind2328","50-54","m","1184","Less than $10,000"
"484","ind2455","50-54","m","1186","Less than $10,000"
"485","ind2329","50-54","m","1187","Less than $10,000"
"486","ind2712","60-61","m","1188","Less than $10,000"
"487","ind4675","45-49","f","1190","Less than $10,000"
"488","ind2675","60-61","m","1191","Less than $10,000"
"489","ind2694","60-61","m","1192","Less than $10,000"
"490","ind2828","62-64","m","1193","Less than $10,000"
"491","ind2263","45-49","m","1195","Less than $10,000"
"492","ind4651","45-49","f","1196","Less than $10,000"
"493","ind4653","45-49","f","1200","Less than $10,000"
"494","ind2716","62-64","m","1201","Less than $10,000"
"495","ind2727","62-64","m","1202","Less than $10,000"
"496","ind4931","55-59","f","1203","Less than $10,000"
"497","ind5026","55-59","f","1204","Less than $10,000"
"498","ind5012","55-59","f","1205","Less than $10,000"
"499","ind2701","60-61","m","1206","Less than $10,000"
"500","ind2781","62-64","m","1207","Less than $10,000"
"501","ind253","55-59","m","1209","Less than $10,000"
"502","ind5004","55-59","f","1210","Less than $10,000"
"503","ind2298","45-49","m","1213","Less than $10,000"
