"","Ind","house","age","sex","income"
"159","ind1014","4238","0-4","m","$75,000 to $99,999"
"160","ind10140","3760","0-4","m","$60,000 to $74,999"
"161","ind10141","4511","0-4","m","$100,000 to $124,999"
"162","ind10142","4475","0-4","m","$75,000 to $99,999"
"163","ind10143","4489","0-4","m","$75,000 to $99,999"
"164","ind10144","3663","0-4","m","$60,000 to $74,999"
"165","ind10145","4483","0-4","m","$75,000 to $99,999"
"166","ind10146","4513","0-4","m","$100,000 to $124,999"
"167","ind10147","4069","0-4","m","$75,000 to $99,999"
"168","ind10148","3950","0-4","m","$60,000 to $74,999"
"169","ind10149","4397","0-4","m","$75,000 to $99,999"
"170","ind1015","4363","0-4","m","$40,000 to $44,999"
"171","ind10150","3706","0-4","m","$60,000 to $74,999"
"172","ind10151","4076","0-4","m","$75,000 to $99,999"
"173","ind10152","4346","0-4","m","$75,000 to $99,999"
"174","ind10153","3670","0-4","m","$50,000 to $59,999"
"175","ind10154","3820","0-4","m","$60,000 to $74,999"
"176","ind10155","4622","0-4","m","$75,000 to $99,999"
"177","ind10156","3814","0-4","m","$60,000 to $74,999"
"178","ind10157","4155","0-4","m","$60,000 to $74,999"
"179","ind10158","4606","0-4","m","$75,000 to $99,999"
"180","ind10159","3872","0-4","m","$60,000 to $74,999"
"181","ind1016","4448","0-4","m","$75,000 to $99,999"
"182","ind10160","4129","0-4","m","$75,000 to $99,999"
"183","ind10161","4298","0-4","m","$60,000 to $74,999"
"184","ind10162","4256","0-4","m","$75,000 to $99,999"
"185","ind10163","4337","0-4","m","$75,000 to $99,999"
"186","ind10164","4234","0-4","m","$75,000 to $99,999"
"187","ind10165","4527","0-4","m","$60,000 to $74,999"
"188","ind10166","3791","0-4","m","$60,000 to $74,999"
"189","ind10167","4133","0-4","m","$75,000 to $99,999"
"190","ind10168","3671","0-4","m","$60,000 to $74,999"
"191","ind10169","4079","0-4","m","$75,000 to $99,999"
"192","ind1017","4116","0-4","m","$75,000 to $99,999"
"193","ind10170","4537","0-4","m","$100,000 to $124,999"
"194","ind10171","4598","0-4","m","$75,000 to $99,999"
"195","ind10172","4415","0-4","m","$75,000 to $99,999"
"196","ind10173","4517","0-4","m","$75,000 to $99,999"
"197","ind10174","4200","0-4","m","$60,000 to $74,999"
"198","ind10175","4581","0-4","m","$100,000 to $124,999"
"199","ind10176","4074","0-4","m","$60,000 to $74,999"
"200","ind10177","3629","0-4","m","$50,000 to $59,999"
"201","ind10178","4120","0-4","m","$60,000 to $74,999"
"202","ind10179","4406","0-4","m","$75,000 to $99,999"
"203","ind1018","3856","0-4","m","$60,000 to $74,999"
"204","ind10180","4434","0-4","m","$75,000 to $99,999"
"205","ind10181","4355","0-4","m","$75,000 to $99,999"
"206","ind10182","4018","0-4","m","$75,000 to $99,999"
"207","ind10183","4263","0-4","m","$75,000 to $99,999"
"208","ind10184","4614","0-4","m","$75,000 to $99,999"
"209","ind10185","3966","0-4","m","$60,000 to $74,999"
"210","ind10186","4595","0-4","m","$75,000 to $99,999"
"211","ind10187","4194","0-4","m","$60,000 to $74,999"
"212","ind10188","4006","0-4","m","$75,000 to $99,999"
"213","ind10189","4570","0-4","m","$100,000 to $124,999"
"214","ind1019","4468","0-4","m","$45,000 to $49,999"
"215","ind10190","4036","0-4","m","$75,000 to $99,999"
"216","ind10191","4179","0-4","m","$75,000 to $99,999"
"217","ind10192","4272","0-4","m","$75,000 to $99,999"
"218","ind10193","3691","0-4","m","$60,000 to $74,999"
"219","ind10194","4002","0-4","m","$60,000 to $74,999"
"220","ind10195","4249","0-4","m","$60,000 to $74,999"
"221","ind10196","4184","0-4","m","$75,000 to $99,999"
"222","ind10197","4553","0-4","m","$100,000 to $124,999"
"223","ind10198","3929","0-4","m","$60,000 to $74,999"
"224","ind10199","4588","0-4","m","$100,000 to $124,999"
"225","ind102","3930","0-4","m","$60,000 to $74,999"
"226","ind1020","4258","0-4","m","$60,000 to $74,999"
"227","ind10200","3959","0-4","m","$50,000 to $59,999"
"228","ind10201","3799","0-4","m","$60,000 to $74,999"
"229","ind10202","4425","0-4","m","$75,000 to $99,999"
"230","ind10203","4061","0-4","m","$60,000 to $74,999"
"231","ind10204","4280","0-4","m","$60,000 to $74,999"
"232","ind10205","3925","0-4","m","$60,000 to $74,999"
"233","ind10206","4465","0-4","m","$75,000 to $99,999"
"234","ind10207","3988","0-4","m","$60,000 to $74,999"
"235","ind10208","4051","0-4","m","$75,000 to $99,999"
"236","ind10209","4003","0-4","m","$60,000 to $74,999"
"237","ind1021","4225","0-4","m","$75,000 to $99,999"
"238","ind10210","4351","0-4","m","$75,000 to $99,999"
"239","ind10211","4555","0-4","m","$75,000 to $99,999"
"240","ind10212","4246","0-4","m","$75,000 to $99,999"
"241","ind10213","4097","0-4","m","$75,000 to $99,999"
"242","ind10214","4216","0-4","m","$75,000 to $99,999"
"243","ind10215","4438","0-4","m","$75,000 to $99,999"
"244","ind10216","3873","0-4","m","$60,000 to $74,999"
"245","ind10217","4455","0-4","m","$75,000 to $99,999"
"246","ind10218","3932","0-4","m","$60,000 to $74,999"
"247","ind10219","4545","0-4","m","$75,000 to $99,999"
"248","ind1022","4494","0-4","m","$75,000 to $99,999"
"249","ind10220","4214","0-4","m","$75,000 to $99,999"
"250","ind10221","4005","0-4","m","$75,000 to $99,999"
"251","ind10222","4392","0-4","m","$75,000 to $99,999"
"252","ind10223","4549","0-4","m","$100,000 to $124,999"
"253","ind10224","4294","0-4","m","$60,000 to $74,999"
"254","ind10225","3934","0-4","m","$50,000 to $59,999"
"255","ind10226","4096","0-4","m","$60,000 to $74,999"
"256","ind10227","4220","0-4","m","$75,000 to $99,999"
"257","ind10228","4442","0-4","m","$75,000 to $99,999"
"258","ind10229","4188","0-4","m","$75,000 to $99,999"
"259","ind1023","4252","0-4","m","$75,000 to $99,999"
"260","ind10230","4067","0-4","m","$75,000 to $99,999"
"261","ind10231","3630","0-4","m","$50,000 to $59,999"
"262","ind10232","4054","0-4","m","$60,000 to $74,999"
"263","ind10233","4466","0-4","m","$75,000 to $99,999"
"264","ind10234","4111","0-4","m","$75,000 to $99,999"
"265","ind10235","4487","0-4","m","$75,000 to $99,999"
"266","ind10236","4314","0-4","m","$75,000 to $99,999"
"267","ind10237","4521","0-4","m","$75,000 to $99,999"
"268","ind10238","4005","0-4","m","$75,000 to $99,999"
"269","ind10239","4364","0-4","m","$60,000 to $74,999"
"270","ind1024","4087","0-4","m","$75,000 to $99,999"
"271","ind10240","4587","0-4","m","$100,000 to $124,999"
"272","ind10241","4518","0-4","m","$75,000 to $99,999"
"273","ind10242","4535","0-4","m","$100,000 to $124,999"
"274","ind10243","4281","0-4","m","$75,000 to $99,999"
"275","ind10244","3610","0-4","m","$50,000 to $59,999"
"276","ind10245","3744","0-4","m","$60,000 to $74,999"
"277","ind10246","4389","0-4","m","$75,000 to $99,999"
"278","ind10247","3792","0-4","m","$60,000 to $74,999"
"279","ind10248","4623","0-4","m","$100,000 to $124,999"
"280","ind10249","4259","0-4","m","$75,000 to $99,999"
"281","ind1025","4210","0-4","m","$60,000 to $74,999"
"282","ind10250","4530","0-4","m","$100,000 to $124,999"
"283","ind10251","4001","0-4","m","$60,000 to $74,999"
"284","ind10252","4197","0-4","m","$75,000 to $99,999"
"285","ind10253","4148","0-4","m","$75,000 to $99,999"
"286","ind10254","4103","0-4","m","$75,000 to $99,999"
"287","ind10255","4441","0-4","m","$75,000 to $99,999"
"288","ind10256","4357","0-4","m","$40,000 to $44,999"
"289","ind10257","4497","0-4","m","$75,000 to $99,999"
"290","ind10258","4159","0-4","m","$75,000 to $99,999"
"291","ind10259","4259","0-4","m","$75,000 to $99,999"
"292","ind1026","4534","0-4","m","$100,000 to $124,999"
"293","ind10260","4464","0-4","m","$45,000 to $49,999"
"294","ind10261","4398","0-4","m","$75,000 to $99,999"
"295","ind10262","4456","0-4","m","$75,000 to $99,999"
"296","ind10263","4242","0-4","m","$60,000 to $74,999"
"297","ind10264","3876","0-4","m","$60,000 to $74,999"
"298","ind10265","4493","0-4","m","$75,000 to $99,999"
"299","ind10266","4466","0-4","m","$75,000 to $99,999"
"300","ind10267","3965","0-4","m","$50,000 to $59,999"
"301","ind10268","4211","0-4","m","$60,000 to $74,999"
"302","ind10269","4262","0-4","m","$75,000 to $99,999"
"303","ind1027","4175","0-4","m","$75,000 to $99,999"
"304","ind10270","4394","0-4","m","$75,000 to $99,999"
"305","ind10271","3902","0-4","m","$50,000 to $59,999"
"306","ind10272","3708","0-4","m","$60,000 to $74,999"
"307","ind10273","4591","0-4","m","$75,000 to $99,999"
"308","ind10274","4262","0-4","m","$75,000 to $99,999"
"309","ind10275","3876","0-4","m","$60,000 to $74,999"
"310","ind10276","4277","0-4","m","$75,000 to $99,999"
"311","ind10277","4491","0-4","m","$75,000 to $99,999"
"312","ind10278","4495","0-4","m","$75,000 to $99,999"
"313","ind10279","4396","0-4","m","$75,000 to $99,999"
"314","ind1028","4228","0-4","m","$75,000 to $99,999"
"315","ind10280","3978","0-4","m","$50,000 to $59,999"
"316","ind10281","4141","0-4","m","$75,000 to $99,999"
"317","ind10282","4237","0-4","m","$75,000 to $99,999"
"318","ind10283","4419","0-4","m","$75,000 to $99,999"
"319","ind10284","4339","0-4","m","$40,000 to $44,999"
"320","ind10285","4567","0-4","m","$75,000 to $99,999"
"321","ind10286","3979","0-4","m","$60,000 to $74,999"
"322","ind10287","4403","0-4","m","$45,000 to $49,999"
"323","ind10288","4554","0-4","m","$100,000 to $124,999"
"324","ind10289","4218","0-4","m","$75,000 to $99,999"
"325","ind1029","4286","0-4","m","$60,000 to $74,999"
"326","ind10290","4414","0-4","m","$75,000 to $99,999"
"327","ind10291","4482","5-9","m","$75,000 to $99,999"
"328","ind10292","3958","5-9","m","$60,000 to $74,999"
"329","ind10293","4349","5-9","m","$75,000 to $99,999"
"330","ind10294","4520","5-9","m","$75,000 to $99,999"
"331","ind10295","3878","5-9","m","$60,000 to $74,999"
"332","ind10296","4004","5-9","m","$75,000 to $99,999"
"333","ind10297","4166","5-9","m","$75,000 to $99,999"
"334","ind10298","4435","5-9","m","$75,000 to $99,999"
"335","ind10299","4135","5-9","m","$35,000 to $39,999"
"336","ind103","3802","5-9","m","$50,000 to $59,999"
"337","ind1030","4434","5-9","m","$75,000 to $99,999"
"338","ind10300","4548","5-9","m","$100,000 to $124,999"
"339","ind10301","4576","5-9","m","$75,000 to $99,999"
"340","ind10302","4080","5-9","m","$75,000 to $99,999"
"341","ind10303","4201","5-9","m","$75,000 to $99,999"
"342","ind10304","4241","5-9","m","$75,000 to $99,999"
"343","ind10305","4401","5-9","m","$75,000 to $99,999"
"344","ind10306","4296","5-9","m","$60,000 to $74,999"
"345","ind10307","4412","5-9","m","$75,000 to $99,999"
"346","ind10308","4592","5-9","m","$100,000 to $124,999"
"347","ind10309","4239","5-9","m","$75,000 to $99,999"
"348","ind1031","3996","5-9","m","$60,000 to $74,999"
"349","ind10310","4217","5-9","m","$75,000 to $99,999"
"350","ind10311","4022","5-9","m","$75,000 to $99,999"
"351","ind10312","4462","5-9","m","$75,000 to $99,999"
"352","ind10313","3732","5-9","m","$60,000 to $74,999"
"353","ind10314","4101","5-9","m","$75,000 to $99,999"
"354","ind10315","4575","5-9","m","$75,000 to $99,999"
"355","ind10316","4189","5-9","m","$75,000 to $99,999"
"356","ind10317","3830","5-9","m","$10,000 to $14,999"
"357","ind10318","4356","5-9","m","$60,000 to $74,999"
"358","ind10319","3662","5-9","m","$60,000 to $74,999"
"359","ind1032","4060","5-9","m","$75,000 to $99,999"
"360","ind10320","3633","5-9","m","$50,000 to $59,999"
"361","ind10321","4259","5-9","m","$75,000 to $99,999"
"362","ind10322","3856","5-9","m","$60,000 to $74,999"
"363","ind10323","4546","5-9","m","$75,000 to $99,999"
"364","ind10324","4359","5-9","m","$60,000 to $74,999"
"365","ind10325","3655","5-9","m","$50,000 to $59,999"
"366","ind10326","3904","5-9","m","$60,000 to $74,999"
"367","ind10327","4282","5-9","m","$60,000 to $74,999"
"368","ind10328","4191","5-9","m","$75,000 to $99,999"
"369","ind10329","4176","5-9","m","$60,000 to $74,999"
"370","ind1033","4232","5-9","m","$75,000 to $99,999"
"371","ind10330","4603","5-9","m","$100,000 to $124,999"
"372","ind10331","4220","5-9","m","$75,000 to $99,999"
"373","ind10332","4317","5-9","m","$60,000 to $74,999"
"374","ind10333","3653","5-9","m","$50,000 to $59,999"
"375","ind10334","4576","5-9","m","$75,000 to $99,999"
"376","ind10335","4232","5-9","m","$75,000 to $99,999"
"377","ind10336","3679","5-9","m","$60,000 to $74,999"
"378","ind10337","4429","5-9","m","$75,000 to $99,999"
"379","ind10338","4232","5-9","m","$75,000 to $99,999"
"380","ind10339","4099","5-9","m","$60,000 to $74,999"
"381","ind1034","4430","5-9","m","$75,000 to $99,999"
"382","ind10340","4509","5-9","m","$60,000 to $74,999"
"383","ind10341","4542","5-9","m","$100,000 to $124,999"
"384","ind10342","4559","5-9","m","$75,000 to $99,999"
"385","ind10343","3781","5-9","m","$60,000 to $74,999"
"386","ind10344","4124","5-9","m","$75,000 to $99,999"
"387","ind10345","4223","5-9","m","$75,000 to $99,999"
"388","ind10346","4066","5-9","m","$75,000 to $99,999"
"389","ind10347","3920","5-9","m","$60,000 to $74,999"
"390","ind10348","3966","5-9","m","$60,000 to $74,999"
"391","ind10349","4607","5-9","m","$100,000 to $124,999"
"392","ind1035","4443","5-9","m","$75,000 to $99,999"
"393","ind10350","3984","5-9","m","$60,000 to $74,999"
"394","ind10351","4389","5-9","m","$75,000 to $99,999"
"395","ind10352","4052","5-9","m","$75,000 to $99,999"
"396","ind10353","3815","5-9","m","$60,000 to $74,999"
"397","ind10354","4335","5-9","m","$75,000 to $99,999"
"398","ind10355","4479","5-9","m","$45,000 to $49,999"
"399","ind10356","4465","5-9","m","$75,000 to $99,999"
"400","ind10357","4323","5-9","m","$75,000 to $99,999"
"401","ind10358","4064","5-9","m","$60,000 to $74,999"
"402","ind10359","4118","5-9","m","$75,000 to $99,999"
"403","ind1036","4290","5-9","m","$75,000 to $99,999"
"404","ind10360","3955","5-9","m","$50,000 to $59,999"
"405","ind10361","3951","5-9","m","$50,000 to $59,999"
"406","ind10362","4029","5-9","m","$60,000 to $74,999"
"407","ind10363","4288","5-9","m","$75,000 to $99,999"
"408","ind10364","3938","5-9","m","$60,000 to $74,999"
"409","ind10365","4264","5-9","m","$75,000 to $99,999"
"410","ind10366","4195","5-9","m","$60,000 to $74,999"
"411","ind10367","4619","5-9","m","$100,000 to $124,999"
"412","ind10368","3728","5-9","m","$60,000 to $74,999"
"413","ind10369","4328","5-9","m","$75,000 to $99,999"
"414","ind1037","4408","5-9","m","$75,000 to $99,999"
"415","ind10370","4523","5-9","m","$100,000 to $124,999"
"416","ind10371","4588","5-9","m","$100,000 to $124,999"
"417","ind10372","4093","5-9","m","$75,000 to $99,999"
"418","ind10373","4275","5-9","m","$75,000 to $99,999"
"419","ind10374","3623","5-9","m","$50,000 to $59,999"
"420","ind10375","4257","5-9","m","$75,000 to $99,999"
"421","ind10376","4544","5-9","m","$100,000 to $124,999"
"422","ind10377","3857","5-9","m","$60,000 to $74,999"
"423","ind10378","4453","5-9","m","$75,000 to $99,999"
"424","ind10379","4056","5-9","m","$60,000 to $74,999"
"425","ind1038","4128","5-9","m","$75,000 to $99,999"
"426","ind10380","3927","5-9","m","$60,000 to $74,999"
"427","ind10381","3775","5-9","m","$50,000 to $59,999"
"428","ind10382","3861","5-9","m","$60,000 to $74,999"
"429","ind10383","3743","5-9","m","$60,000 to $74,999"
"430","ind10384","3734","5-9","m","$60,000 to $74,999"
"431","ind10385","4264","5-9","m","$75,000 to $99,999"
"432","ind10386","4208","5-9","m","$75,000 to $99,999"
"433","ind10387","4176","5-9","m","$60,000 to $74,999"
"434","ind10388","4440","5-9","m","$75,000 to $99,999"
"435","ind10389","3958","5-9","m","$60,000 to $74,999"
"436","ind1039","4055","5-9","m","$75,000 to $99,999"
"437","ind10390","3614","5-9","m","$50,000 to $59,999"
"438","ind10391","4164","5-9","m","$60,000 to $74,999"
"439","ind10392","4613","5-9","m","$100,000 to $124,999"
"440","ind10393","4616","5-9","m","$100,000 to $124,999"
"441","ind10394","4258","5-9","m","$60,000 to $74,999"
"442","ind10395","4366","5-9","m","$75,000 to $99,999"
"443","ind10396","4260","5-9","m","$75,000 to $99,999"
"444","ind10397","4283","5-9","m","$60,000 to $74,999"
"445","ind10398","4590","5-9","m","$75,000 to $99,999"
"446","ind10399","3991","5-9","m","$60,000 to $74,999"
"447","ind104","3733","5-9","m","$60,000 to $74,999"
"448","ind1040","3868","5-9","m","$50,000 to $59,999"
"449","ind10400","4415","5-9","m","$75,000 to $99,999"
"450","ind10401","4219","5-9","m","$75,000 to $99,999"
"451","ind10402","4242","5-9","m","$60,000 to $74,999"
"452","ind10403","4159","5-9","m","$75,000 to $99,999"
"453","ind10404","3730","5-9","m","$50,000 to $59,999"
"454","ind10405","4028","5-9","m","$75,000 to $99,999"
"455","ind10406","4145","5-9","m","$75,000 to $99,999"
"456","ind10407","4246","5-9","m","$75,000 to $99,999"
"457","ind10408","4068","5-9","m","$75,000 to $99,999"
"458","ind10409","4600","5-9","m","$100,000 to $124,999"
"459","ind1041","4185","5-9","m","$75,000 to $99,999"
"460","ind10410","4253","5-9","m","$75,000 to $99,999"
"461","ind10411","4039","5-9","m","$75,000 to $99,999"
"462","ind10412","3774","5-9","m","$60,000 to $74,999"
"463","ind10413","3928","5-9","m","$60,000 to $74,999"
"464","ind10414","3940","5-9","m","$50,000 to $59,999"
"465","ind10415","4496","5-9","m","$100,000 to $124,999"
"466","ind10416","4569","5-9","m","$100,000 to $124,999"
"467","ind10417","4556","5-9","m","$75,000 to $99,999"
"468","ind10418","4218","5-9","m","$75,000 to $99,999"
"469","ind10419","3683","5-9","m","$50,000 to $59,999"
"470","ind1042","4244","5-9","m","$75,000 to $99,999"
"471","ind10420","4277","5-9","m","$75,000 to $99,999"
"472","ind10421","4270","5-9","m","$75,000 to $99,999"
"473","ind10422","4410","5-9","m","$75,000 to $99,999"
"474","ind10423","4499","5-9","m","$100,000 to $124,999"
"475","ind10424","4266","5-9","m","$75,000 to $99,999"
"476","ind10425","4109","5-9","m","$75,000 to $99,999"
"477","ind10426","4347","5-9","m","$40,000 to $44,999"
"478","ind10427","4290","5-9","m","$75,000 to $99,999"
"479","ind10428","3989","5-9","m","$60,000 to $74,999"
"480","ind10429","4158","5-9","m","$75,000 to $99,999"
"481","ind1043","4114","5-9","m","$75,000 to $99,999"
