"","OBJECTID","LOCNUM","CONAME","STREET","CITY","STATE","STATE_NAME","ZIP","ZIP4","NAICS","SIC","SALESVOL","HDBRCH","ULTNUM","PUBPRV","EMPNUM","FRNCOD","ISCODE","SQFTCODE","LOC_NAME","STATUS","SCORE","SOURCE","REC_TYPE","coords.x1","coords.x2","optional"
"3510","1302156","598002992","0LIGHTHOUSE OUTREACH CTR","LEOKANE ST","WAIPAHU","H","IHawaii","9679","7210","98131102","786612",7,"0","00000000","0",6,"0",NA,NA,"2PointAddress",NA,0,"2INFOGROU",0,-72.5479999999999,43.0613000000001,TRUE
"3521","1302186","698006549","4JANI-KING","LEOOLE ST","WAIPAHU","H","IHawaii","9679","7228","95617200","373495",3,"3","271238697","8",1.5,"1",NA,NA,"4PointAddress",NA,0,"2INFOGROU",0,-72.5400999999999,43.0464000000001,TRUE
"3524","11014","510532413","1K & E GRAPHICS INC","POHUKAINA ST","HONOLULU","H","IHawaii","9681","3532","83231201","627960",5,"1","00000000","0",1,"0",NA,NA,"3PointAddress",NA,0,"2INFOGROU",0,-72.533,43.1191000000001,TRUE
"3525","11026","510534343","8LIBBEY HEYWOOD INC","ALA MOANA BLVD","HONOLULU","H","IHawaii","9681","3541","75413305","887113",7,"2","00000000","0",4,"0",NA,NA,"5PointAddress",NA,0,"2INFOGROU",0,-72.6313,43.1397000000001,TRUE
"3538","84121","220547018","0PHIL'S TUX SHOPS","WARD AVE","HONOLULU","H","IHawaii","9681","4400","75322810","272990",8,"1","00000000","0",2,"0",NA,NA,"2PointAddress",NA,0,"2INFOGROU",0,-72.5755,43.0994000000001,TRUE
"3544","84146","220548984","2MOON PHYSICAL THERAPY","WARD AVE","HONOLULU","H","IHawaii","9681","4401","66213400","780491",8,"2","00000000","0",4,"0",NA,NA,"3PointAddress",NA,0,"2INFOGROU",0,-72.5343999999999,43.0547,TRUE
"3564","163911","435673761","9WAYPOINT","POHUKAINA ST","HONOLULU","H","IHawaii","9681","3532","85416130","287421",4,"2","240012536","5",8,"0",NA,NA,"5PointAddress",NA,0,"2INFOGROU",0,-72.5284,43.0352000000001,TRUE
"3580","236919","640256323","2PROVIDENT FUNDING","ALA MOANA BLVD","HONOLULU","H","IHawaii","9681","3541","65222910","161410",2,"2","00000000","0",3,"0",NA,NA,"4PointAddress",NA,0,"2INFOGROU",0,-72.5511999999999,43.0489000000001,TRUE
"3599","314341","941069592","1OTIS ELEVATOR CO","AHUI ST","HONOLULU","H","IHawaii","9681","3530","22382900","117960",2,"3","200060268","0",2,"0",NA,NA,"2PointAddress",NA,0,"2INFOGROU",0,-72.5945,43.1754,TRUE
"3607","371390","741785946","8INSPECTIONS & INVESTIGATIONS","ALA MOANA BLVD","HONOLULU","H","IHawaii","9681","4492","05413500","373899",6,"2","00000000","0",4,"0",NA,NA,"3PointAddress",NA,0,"2INFOGROU",0,-72.6044999999999,43.1706,TRUE
"3672","522954","043596778","2R WEINSTEIN WAREHOUSE","POHUKAINA ST","HONOLULU","H","IHawaii","9681","3530","04234502","850470",4,"3","00000000","0",8,"0",NA,NA,"3PointAddress",NA,0,"2INFOGROU",0,-72.6068,43.1719000000001,TRUE
"3676","532194","143682992","6808 UNDERGROUND UTILITIES INC","POHUKAINA ST","HONOLULU","H","IHawaii","9681","3532","82362200","515421",3,"3","00000000","0",6,"0",NA,NA,"4PointAddress",NA,0,"2INFOGROU",0,-72.6089999999999,43.1727000000001,TRUE
"3679","550093","743935829","5TEA ON FLEEK","ALA MOANA BLVD","HONOLULU","H","IHawaii","9681","4490","87225130","158120",6,"2","00000000","0",1.4,"1",NA,NA,"1StreetAddres","s",0,"2INFOGROU",0,-72.5313,43.1531000000001,TRUE
"3691","568818","544063198","0HTM CONTRACTORS INC","AHUI ST","HONOLULU","H","IHawaii","9681","3551","05617302","207830",1,"2","00000000","0",5,"0",NA,NA,"3StreetAddres","s",0,"2INFOGROU",0,-72.5357999999999,43.2250000000001,TRUE
"3693","577404","145108831","4TRAVEL TRAVEL INC","WARD AVE","HONOLULU","H","IHawaii","9681","4401","75615100","147240",6,"2","00000000","0",2,"0",NA,NA,"3PointAddress",NA,0,"2INFOGROU",0,-72.602,43.1896,TRUE
"3702","592117","646822652","7ELLEN MASAKI SCHOOL OF MUSIC","WARD AVE","HONOLULU","H","IHawaii","9681","4400","76116100","582991",8,"0","00000000","0",1,"0",NA,NA,"3PointAddress",NA,0,"2INFOGROU",0,-72.5819999999999,43.1856000000001,TRUE
"3716","627907","451067082","1ENTERPRISE RENT-A-CAR","ALA MOANA BLVD","HONOLULU","H","IHawaii","9681","3541","25321110","175140",1,"2","244366132","7",3,"00",NA,NA,"5PointAddress",NA,0,"2INFOGROU",0,-72.6022,43.1928,TRUE
"3753","720988","562796187","3WHERE TV","ALA MOANA BLVD","HONOLULU","H","IHawaii","9681","3541","65111990","827410",5,"3","00000000","0",9,"0",NA,NA,"6PointAddress",NA,0,"2INFOGROU",0,-72.5465999999999,43.2289000000001,TRUE
"3757","746202","865525093","4UNIVERSITY INTEGRATIVE","ILALO ST","HONOLULU","H","IHawaii","9681","3552","56211110","780110",1,"3","00000000","0",6,"0KT",NA,NA,"4PointAddress",NA,0,"2INFOGROU",0,-72.5455999999999,43.2276000000001,TRUE
"3765","784667","268932729","4SOURCE IT INC","WARD AVE","HONOLULU","H","IHawaii","9681","4401","75613110","273610",3,"2","00000000","0",5,"0",NA,NA,"5PointAddress",NA,0,"2INFOGROU",0,-72.6084,43.1727000000001,TRUE
"3784","875347","371103576","9HAWAII WORKS INC","AHUI ST","HONOLULU","H","IHawaii","9681","3551","02361151","215214",4,"3","00000000","0",5,"0",NA,NA,"3StreetAddres","s",0,"2INFOGROU",0,-72.6094999999999,43.1726000000001,TRUE
"3801","929881","171569826","9PARKOUR 360 SOUTHBAY LLC","WARD AVE","HONOLULU","H","IHawaii","9681","4401","09999900","499997",7,"0","00000000","0",0,"0",NA,NA,"3PointAddress",NA,0,"2INFOGROU",0,-72.6044999999999,43.1706,TRUE
"3818","973147","671861841","7HAPPYRAGEDINO LLC","KAMANI ST","HONOLULU","H","IHawaii","9681","3530","89999900","499997",7,"0","00000000","0",0,"0",NA,NA,"2StreetAddres","s",0,"2INFOGROU",0,-72.6077999999999,43.1721000000001,TRUE
"3848","1057718","972337623","1PROGRESSIVE INSURANCE","ALA MOANA BLVD","HONOLULU","H","IHawaii","9681","3541","65242100","164111",2,"2","213877784","2",2,"0<",NA,NA,"4PointAddress",NA,0,"2INFOGROU",0,-72.5644999999999,43.2414000000001,TRUE
"3858","1081060","572454208","1NOUVEAU CONTOUR HI ACAD","WARD AVE","HONOLULU","H","IHawaii","9681","4401","66111100","782110",3,"0","00000000","0",9,"0",NA,NA,"6PointAddress",NA,0,"2INFOGROU",0,-72.6093,43.1707,TRUE
"3863","1084361","372472838","6HAWAII ASSISTIVE TECH TRAININ","GALA MOANA BLVD","HONOLULU","H","IHawaii","9681","3541","95416121","287480",2,"3","00000000","0",1.5,"1",NA,NA,"7PointAddress",NA,0,"2INFOGROU",0,-72.6091,43.1726000000001,TRUE
"3867","1089831","472500412","4KANEOHE HOMES LLC","ALA MOANA BLVD","HONOLULU","H","IHawaii","9681","3541","22361150","615211",2,"2","00000000","0",2,"0",NA,NA,"2PointAddress",NA,0,"2INFOGROU",0,-72.6044999999999,43.1706,TRUE
"3871","1103067","572568150","8HONOLULU AERIAL LLC","KAMANI ST","HONOLULU","H","IHawaii","9681","3530","84881190","645811",1,"2","00000000","0",2,"0",NA,NA,"3StreetAddres","s",0,"2INFOGROU",0,-72.5368999999999,43.2283000000001,TRUE
"3892","1144933","873462252","3ONINI PARTNERS LLC","WARD AVE","HONOLULU","H","IHawaii","9681","4400","79999900","499997",7,"0","00000000","0",0,"0",NA,NA,"2PointAddress",NA,0,"2INFOGROU",0,-72.6093999999999,43.1732000000001,TRUE
"3893","1149697","273500833","8BODIES BY BEN","WARD AVE","HONOLULU","H","IHawaii","9681","4401","57139401","179910",1,"2","00000000","0",4,"0",NA,NA,"3PointAddress",NA,0,"2INFOGROU",0,-72.5812,43.1893000000001,TRUE
"3894","1150368","973507295","4ZERO-TEN USA INC","KAMANI ST","HONOLULU","H","IHawaii","9681","3530","89999900","499997",7,"0","00000000","0",0,"0",NA,NA,"3StreetAddres","s",0,"2INFOGROU",0,-72.5755,43.1575,TRUE
"3895","1153696","573548802","6HAWAII DEPARTMENT OF HEALTH","ALA MOANA BLVD","HONOLULU","H","IHawaii","9681","4492","06219992","180990",7,"2","00000000","0",5,"0",NA,NA,"5PointAddress",NA,0,"2INFOGROU",0,-72.5412,43.2269,TRUE
"3915","1243796","287023770","8FIDDLER'S","POHUKAINA ST","HONOLULU","H","IHawaii","9681","3532","73325101","534290",2,"3","00000000","0",7,"0",NA,NA,"5PointAddress",NA,0,"2INFOGROU",0,-72.5481999999999,43.2321000000001,TRUE
"3918","1243819","987028571","5MONARCH INSURANCE SVC","ALA MOANA BLVD","HONOLULU","H","IHawaii","9681","3541","75242100","164111",2,"3","00000000","0",2,"1",NA,NA,"8PointAddress",NA,0,"2INFOGROU",0,-72.6145999999999,43.1624,TRUE
"3919","1243827","387029902","1ENVIRONMENTAL MANAGEMENT","ALA MOANA BLVD","HONOLULU","H","IHawaii","9681","4492","09211200","891210",2,"0","00000000","0",2,"2",NA,NA,"7PointAddress",NA,0,"2INFOGROU",0,-72.6104,43.1696000000001,TRUE
"3923","1243981","287051712","5HAWAII HEALTH CTR","WARD AVE","HONOLULU","H","IHawaii","9681","4401","06215110","880711",1,"2","00000000","0",1,"0",NA,NA,"3PointAddress",NA,0,"2INFOGROU",0,-72.3991999999999,43.1283000000001,TRUE
"3925","1269650","990397273","5DMT CONSULTANT ENGINEERING","ALA MOANA BLVD","HONOLULU","H","IHawaii","9681","3541","55413301","687111",1,"3","00000000","0",1.2,"1",NA,NA,"7PointAddress",NA,0,"2INFOGROU",0,-72.4274,43.0827000000001,TRUE
"3930","1269677","590400001","5HAWAII BEHAVIORAL HEALTH SVC","WARD AVE","HONOLULU","H","IHawaii","9681","4400","36219992","180990",7,"2","00000000","0",5,"0",NA,NA,"5PointAddress",NA,0,"2INFOGROU",0,-72.4296999999999,43.0762000000001,TRUE
"3931","1269677","690400017","1OFFICEMAX","ALA MOANA BLVD","HONOLULU","H","IHawaii","9681","3550","44532100","759430",1,"3","244138263","7",2,"12",NA,NA,"5PointAddress",NA,0,"2INFOGROU",0,-72.3948999999999,43.1054000000001,TRUE
"3932","1269849","790401574","0CINNAMON GIRL","ALA MOANA BLVD","HONOLULU","H","IHawaii","9681","4492","74481201","056210",1,"2","00000000","0",6,"0",NA,NA,"6PointAddress",NA,0,"2INFOGROU",0,-72.4303999999999,43.1053000000001,TRUE
"3933","1270988","690534013","9OUTRIGGER DUKE KAHANAMOKU","WARD AVE","HONOLULU","H","IHawaii","9681","4400","48133190","883999",8,"0","00000000","0",1,"0",NA,NA,"4PointAddress",NA,0,"2INFOGROU",0,-72.4510999999999,43.1351000000001,TRUE
"3934","1278995","594096694","8ALOHA DINERS CLUB","WARD AVE","HONOLULU","H","IHawaii","9681","4330","08132190","183990",7,"0","00000000","0",1,"0",NA,NA,"3PointAddress",NA,0,"2INFOGROU",0,-72.458,43.1457000000001,TRUE
"3935","1286207","095802609","8GRAND VALET INC","WARD AVE","HONOLULU","H","IHawaii","9681","4400","48129300","275210",1,"2","00000000","0",4,"0",NA,NA,"2PointAddress",NA,0,"2INFOGROU",0,-72.4416999999999,43.1087000000001,TRUE
"3936","1286270","395809679","4WARD WAREHOUSE","ALA MOANA BLVD","HONOLULU","H","IHawaii","9681","4","4481300","356410",3,"2","00000000","0",6,"0",NA,NA,"3StreetAddres","s",0,"2INFOGROU",0,-72.4485,43.1312,TRUE
"3937","1286270","695809695","0HAWAIIAN SOUTHSHORE OUTLET","WARD AVE","HONOLULU","H","IHawaii","9681","4401","64511105","759411",2,"3","00000000","0",8,"0",NA,NA,"4PointAddress",NA,0,"2INFOGROU",0,-72.4397999999999,43.1248,TRUE
"3938","1286270","995809752","9ENVIRONMENTAL RESOURCES OFFIC","EALA MOANA BLVD","HONOLULU","H","IHawaii","9681","4492","09211200","891210",2,"0","00000000","0",5,"0",NA,NA,"6PointAddress",NA,0,"2INFOGROU",0,-72.4442999999999,43.1337000000001,TRUE
"3939","1286272","195809867","5PAUL'S CABLING INC","WARD AVE","HONOLULU","H","IHawaii","9681","4400","42382100","117311",0,"3","00000000","0",2.2,"1",NA,NA,"7PointAddress",NA,0,"2INFOGROU",0,-72.4488,43.1367,TRUE
"3940","1286273","495809967","3SOLAR GARD","KAMANI ST","HONOLULU","H","IHawaii","9681","3532","44237203","250740",5,"2","288799933","2",1,"0",NA,NA,"3PointAddress",NA,0,"2INFOGROU",0,-72.4442999999999,43.1340000000001,TRUE
"3941","1302167","598003965","5A ALA MOANA CHILDREN'S DENTIS","TALA MOANA BLVD","HONOLULU","H","IHawaii","9681","3541","56212100","380210",1,"3","00000000","0",8,"026",NA,NA,"4PointAddress",NA,0,"2INFOGROU",0,-72.4392999999999,43.0863,TRUE
"3943","1302169","698004136","2TEAM VISION","ALA MOANA BLVD","HONOLULU","H","IHawaii","9681","3541","95418100","173110",1,"3","00000000","0",2.1,"1",NA,NA,"7PointAddress",NA,0,"2INFOGROU",0,-72.5080999999999,43.1421,TRUE
"3944","1302170","198004245","1D SUEHIRO ELECTRIC","POHUKAINA ST","HONOLULU","H","IHawaii","9681","3532","82382100","717310",1,"3","00000000","0",1.3,"1",NA,NA,"4PointAddress",NA,0,"2INFOGROU",0,-72.4419999999999,43.0832,TRUE
"3948","1302196","798007532","9TPS ELECTRONICS","COOKE ST","HONOLULU","H","IHawaii","9681","3532","08114902","876996",9,"2","00000000","0",3,"0",NA,NA,"1PointAddress",NA,0,"2INFOGROU",0,-72.4292,43.0798,TRUE
"3949","1305966","298490050","6DEPARTMENT OF PUBLIC SAFETY","ALA MOANA BLVD","HONOLULU","H","IHawaii","9681","4492","09221400","292230",2,"0","00000000","0",1.3,"1",NA,NA,"8PointAddress",NA,0,"2INFOGROU",0,-72.4445999999999,43.1303000000001,TRUE
"3950","11141","110545874","9KEKUKU ESTATE INC","KALAKAUA AVE","HONOLULU","H","IHawaii","9681","5476","35311100","265130",3,"2","00000000","0",1,"0",NA,NA,"3StreetAddres","s",0,"2INFOGROU",0,-72.4473,43.1361,TRUE
"3951","185349","938613125","4OCEANSIDE MANOR","KALAKAUA AVE","HONOLULU","H","IHawaii","9681","5470","39999900","499997",7,"0","00000000","0",0,"0",NA,NA,"1PointAddress",NA,0,"2INFOGROU",0,-72.4503,43.1337000000001,TRUE
"3953","314320","241069222","8ART OF ENERGY INC","KIELE AVE","HONOLULU","H","IHawaii","9681","5473","52382201","317113",1,"3","00000000","0",1.1,"1",NA,NA,"3PointAddress",NA,0,"2INFOGROU",0,-72.5080999999999,43.1421,TRUE
"3954","374133","641895952","9CC 90 PACIFIC","KALAKAUA AVE","HONOLULU","H","IHawaii","9681","5470","05416183","087489",9,"2","00000000","0",2,"0",NA,NA,"1PointAddress",NA,0,"2INFOGROU",0,-72.4276,43.1058000000001,TRUE
"3955","482385","243339939","8PUALANI HAWAII","DIAMOND HEAD RD","HONOLULU","H","IHawaii","9681","6443","04481900","256994",7,"2","00000000","0",1,"0",NA,NA,"2StreetAddres","s",0,"2INFOGROU",0,-72.4485,43.1312,TRUE
"3956","4167","000641941","0ORCHIDS","KALIA RD","HONOLULU","H","IHawaii","9681","5193","67225111","758120",8,"4","00000000","0",8,"2",NA,"3","1PointAddress",NA,0,"2INFOGROU",0,-72.402,43.0661000000001,TRUE
"3957","11053","810537854","1ABC STORES","LEWERS ST","HONOLULU","H","IHawaii","9681","5193","94451200","154110",3,"3","210537847","5",2.1,"1",NA,NA,"7PointAddress",NA,0,"2INFOGROU",0,-72.4417999999999,43.1346,TRUE
"3959","11056","110538243","6DENNY'S","LEWERS ST","HONOLULU","H","IHawaii","9681","5193","97225111","758120",8,"3","200465866","2",2,"1a",NA,"3","1PointAddress",NA,0,"2INFOGROU",0,-72.4299999999999,43.0957000000001,TRUE
"3960","84132","420547944","7SUBWAY","KALIA RD","HONOLULU","H","IHawaii","9681","5190","27225111","758120",8,"2","245218629","9",5,"0R",NA,"D","1PointAddress",NA,0,"2INFOGROU",0,-72.4448999999999,43.08,TRUE
"3963","211691","440067924","0OUTRIGGER WAIKIKI SHORE","KALIA RD","HONOLULU","H","IHawaii","9681","5199","27211100","270110",1,"3","00000000","0",1.7,"1",NA,NA,"7PointAddress",NA,0,"2INFOGROU",0,-72.437,43.0039000000001,TRUE
"3964","213934","240080590","2AZURE RESTAURANT","KALAKAUA AVE","HONOLULU","H","IHawaii","9681","5251","57225111","758120",8,"2","00000000","0",8,"0",NA,"g","1PointAddress",NA,0,"2INFOGROU",0,-72.4417999999999,43.1346,TRUE
"3965","234400","340241570","9TORI RICHARD LTD","KALAKAUA AVE","HONOLULU","H","IHawaii","9681","5251","54481400","156510",1,"2","00000000","0",3,"0",NA,NA,"5PointAddress",NA,0,"2INFOGROU",0,-72.5071999999999,43.1392000000001,TRUE
"3968","309868","340965322","7W K JEWELRY & SVC","LEWERS ST","HONOLULU","H","IHawaii","9681","5193","98114902","376310",1,"2","00000000","0",2,"0",NA,NA,"1PointAddress",NA,0,"2INFOGROU",0,-72.4361,43.1207000000001,TRUE
"3969","352034","541574242","4ATM","KALAKAUA AVE","HONOLULU","H","IHawaii","9681","5251","55221100","160210",3,"0","00000000","0",0,"0",NA,NA,"PointAddress",NA,0,"2INFOGROU",0,-72.4611,43.1155000000001,TRUE
"3970","371130","841778016","5STEAK SHACK","KALIA RD","HONOLULU","H","IHawaii","9681","5193","67225111","758120",8,"2","00000000","0",6,"0",NA,"0","3PointAddress",NA,0,"2INFOGROU",0,-72.4442999999999,43.1344,TRUE
"3971","374666","441915591","6LEWERS LOUNGE","KALIA RD","HONOLULU","H","IHawaii","9681","5193","67224100","358130",3,"3","00000000","0",2,"1",NA,NA,"1PointAddress",NA,0,"2INFOGROU",0,-72.4363999999999,43.0853000000001,TRUE
"3972","396224","242224979","9ELECTRIC CHARGING STATION","HELUMOA RD","HONOLULU","H","IHawaii","9681","5196","24471901","055411",2,"0","00000000","0",0,"0J",NA,"P","PointAddress",NA,0,"2INFOGROU",0,-72.4361,43.1207000000001,TRUE
"3973","415268","342442460","4ACCENTS","KALAKAUA AVE","HONOLULU","H","IHawaii","9681","5251","54532201","359471",2,"2","00000000","0",5,"0",NA,NA,"1PointAddress",NA,0,"2INFOGROU",0,-72.4263,43.0790000000001,TRUE
"3974","416595","842463290","7HAWAII RESORT SHOPS INC","KALIA RD","HONOLULU","H","IHawaii","9681","5193","67211990","970111",1,"3","00000000","0",2.1,"1",NA,NA,"1PointAddress",NA,0,"2INFOGROU",0,-72.38,43.1391000000001,TRUE
"3975","418703","642496802","5JAPAHAN INTERNATIONAL INC","LEWERS ST","HONOLULU","H","IHawaii","9681","5193","99999900","499997",7,"0","00000000","0",0,"0",NA,NA,"2PointAddress",NA,0,"2INFOGROU",0,-72.437,43.1215000000001,TRUE
"3976","429673","742571832","2CATERING OFFICE","KALAKAUA AVE","HONOLULU","H","IHawaii","9681","5251","57211100","270110",1,"2","00000000","0",5,"0",NA,NA,"6PointAddress",NA,0,"2INFOGROU",0,-72.4416999999999,43.1420000000001,TRUE
"3977","430099","142574106","2HALEKULANI CORP","KALIA RD","HONOLULU","H","IHawaii","9681","5193","67211100","270110",1,"5","00000000","0",8.23,"2",NA,NA,"8PointAddress",NA,0,"2INFOGROU",0,-72.3538,43.1290000000001,TRUE
"3978","496674","543374318","9ATM","KALIA RD","HONOLULU","H","IHawaii","9681","5193","85221100","160210",3,"0","00000000","0",0,"0",NA,NA,"PointAddress",NA,0,"2INFOGROU",0,-72.4470999999999,43.1324000000001,TRUE
"3979","498578","543377668","1ATM","LEWERS ST","HONOLULU","H","IHawaii","9681","5193","95221100","160210",3,"0","00000000","0",0,"0",NA,NA,"PointAddress",NA,0,"2INFOGROU",0,-72.312,43.138,TRUE
"3980","545044","443872888","4IMPERIAL","LEWERS ST","HONOLULU","H","IHawaii","9681","5198","67211100","270110",1,"3","00000000","0",1.7,"1",NA,NA,"7PointAddress",NA,0,"2INFOGROU",0,-72.4272999999999,43.0859,TRUE
"3981","545046","643872896","4WAIKIKI BEACHBOY","KALAKAUA AVE","HONOLULU","H","IHawaii","9681","5251","54481503","956991",5,"3","00000000","0",5,"0",NA,NA,"5PointAddress",NA,0,"2INFOGROU",0,-72.4548999999999,43.1017000000001,TRUE
"3982","566427","144049025","2TRUMP INTERNATIONAL HOTEL","HELUMOA RD","HONOLULU","H","IHawaii","9681","5196","27211100","270110",1,"3","00000000","0",1.7,"1",NA,NA,"6PointAddress",NA,0,"2INFOGROU",0,-72.443,43.1335,TRUE
"3983","569517","844069213","1IMPERIAL HAWAII RESORT","LEWERS ST","HONOLULU","H","IHawaii","9681","5198","67211100","270110",1,"3","00000000","0",1.7,"1",NA,NA,"1PointAddress",NA,0,"2INFOGROU",0,-72.509,43.1384000000001,TRUE
"3984","577407","045109365","2HOUSE WITHOUT A KEY","KALIA RD","HONOLULU","H","IHawaii","9681","5193","67225111","758120",8,"3","00000000","0",6.1,"1",NA,NA,"1PointAddress",NA,0,"2INFOGROU",0,-72.4915,43.1215000000001,TRUE
"3986","608645","048779834","0SURF LANAI-THE ROYAL HAWAIIAN","KALAKAUA AVE","HONOLULU","H","IHawaii","9681","5251","57225111","758120",8,"3","00000000","0",5,"1",NA,"8","1PointAddress",NA,0,"2INFOGROU",0,-72.3531999999999,43.1325,TRUE
"3987","608658","948781220","8ROYAL FLOWERS","KALAKAUA AVE","HONOLULU","H","IHawaii","9681","5251","54531100","159920",1,"2","00000000","0",2,"0",NA,NA,"2PointAddress",NA,0,"2INFOGROU",0,-72.4511999999999,43.0749000000001,TRUE
"3988","627929","651070370","5HAWAIIAN QUILT COLLECTION","KALAKAUA AVE","HONOLULU","H","IHawaii","9681","5251","54511301","757140",4,"2","00000000","0",3,"0",NA,NA,"3PointAddress",NA,0,"2INFOGROU",0,-72.4544999999999,43.138,TRUE
"3989","720985","262795731","9HAWAII FOOD TOURS","KALIA RD","HONOLULU","H","IHawaii","9681","5193","64451100","254110",4,"3","00000000","0",4,"0",NA,NA,"3PointAddress",NA,0,"2INFOGROU",0,-72.5080999999999,43.1421,TRUE
"3990","740007","864948345","0HERTZ","LEWERS ST","HONOLULU","H","IHawaii","9681","5193","95321110","175140",1,"2","243990179","8",2,"04",NA,NA,"4PointAddress",NA,0,"2INFOGROU",0,-72.4274,43.0827000000001,TRUE
"3992","790946","969410963","8KAION","KALIA RD","HONOLULU","H","IHawaii","9681","5193","64511105","759411",2,"2","00000000","0",4,"0",NA,NA,"3PointAddress",NA,0,"2INFOGROU",0,-72.4641999999999,43.0406000000001,TRUE
"3993","797890","669834160","9TRH INSPIRED","KALAKAUA AVE","HONOLULU","H","IHawaii","9681","5251","52362203","415420",3,"3","00000000","0",4,"0",NA,NA,"3PointAddress",NA,0,"2INFOGROU",0,-72.4555999999999,43.0701000000001,TRUE
"3994","807195","070056594","0JADE TREE","LEWERS ST","HONOLULU","H","IHawaii","9681","5193","95617302","207830",1,"2","00000000","0",5,"0",NA,NA,"3PointAddress",NA,0,"2INFOGROU",0,-72.4274,43.0827000000001,TRUE
"3995","890105","171204247","4STARWOOD HOTELS & RESORTS HI","KALAKAUA AVE","HONOLULU","H","IHawaii","9681","5251","57211100","270110",1,"3","00000000","0",1.7,"1",NA,NA,"7PointAddress",NA,0,"2INFOGROU",0,-72.4266,43.1114,TRUE
"3996","921664","971521648","3MALIE ORGANICS MALIE ORGANICS","KALAKAUA AVE","HONOLULU","H","IHawaii","9681","5251","59999900","499997",7,"0","00000000","0",0,"0",NA,NA,"3PointAddress",NA,0,"2INFOGROU",0,-72.4392999999999,43.0863,TRUE
